label,kind,level_bp,cr_bp
3y(2s5s15s),fly,-20.219693427259585,-4.450493345309326
3y(2s5s20s),fly,-21.15547774703697,-6.797351803405775
3y(2s5s30s),fly,-10.997470615897385,-9.328525675229002
3y(2s7s10s),fly,10.360099170807416,-3.130021498682595
3y(2s7s15s),fly,-2.1697761679516816,-5.421545900040826
3y(2s7s20s),fly,-3.105560487729065,-7.768404358137275
3y(2s7s30s),fly,7.052446643410519,-10.299578229960503
3y(2s10s15s),fly,22.992696568371684,-5.319374408909937
3y(2s10s20s),fly,22.0569122485943,-7.666232867006386
3y(2s10s30s),fly,32.214919379733885,-10.197406738829613
3y(2s15s20s),fly,47.1166629261125,-3.0831840642899238
3y(2s15s30s),fly,57.27467005725208,-5.6143579361131515
3y(2s20s30s),fly,59.14623869680685,-0.9206410199202537
3y(3s5s7s),fly,0.14130175287726843,-0.4050894756592811
3y(3s5s10s),fly,-12.439934615284415,-0.45617522122472565
3y(3s5s15s),fly,-24.969809954043512,-2.7476996225829566
3y(3s5s20s),fly,-25.905594273820896,-5.0945580806794055
3y(3s5s30s),fly,-15.747587142681311,-7.625731952502633
3y(3s7s10s),fly,5.609982644023489,-1.4272277759562257
3y(3s7s15s),fly,-6.9198926947356085,-3.7187521773144567
3y(3s7s20s),fly,-7.855677014512992,-6.065610635410906
3y(3s7s30s),fly,2.3023301166265924,-8.596784507234133
3y(3s10s15s),fly,18.242580041587757,-3.6165806861835677
3y(3s10s20s),fly,17.306795721810374,-5.9634391442800165
3y(3s10s30s),fly,27.46480285294996,-8.494613016103244
3y(3s15s20s),fly,42.36654639932857,-1.3803903415635546
3y(3s15s30s),fly,52.524553530468154,-3.9115642133867823
3y(3s20s30s),fly,54.39612217002292,0.7821527028061155
3y(5s7s10s),fly,-3.556277738507731,-0.5366120229311946
3y(5s7s15s),fly,-16.08615307726683,-2.8281364242894256
3y(5s7s20s),fly,-17.021937397044212,-5.1749948823858745
3y(5s7s30s),fly,-6.863930265904628,-7.706168754209102
3y(5s10s15s),fly,9.076319659056537,-2.7259649331585365
3y(5s10s20s),fly,8.140535339279154,-5.072823391254985
3y(5s10s30s),fly,18.298542470418738,-7.603997263078213
3y(5s15s20s),fly,33.20028601679735,-0.4897745885385234
3y(5s15s30s),fly,43.358293147936934,-3.020948460361751
3y(5s20s30s),fly,45.2298617874917,1.6727684558311466
3y(7s10s15s),fly,0.051361029402585245,-2.2404386557927864
3y(7s10s20s),fly,-0.8844232903747979,-4.587297113889235
3y(7s10s30s),fly,9.273583840764786,-7.118470985712463
3y(7s15s20s),fly,24.175327387143398,-0.004248311172773356
3y(7s15s30s),fly,34.33333451828298,-2.535422182996001
3y(7s20s30s),fly,36.20490315783775,2.1582947331968967
3y(10s15s20s),fly,11.594091018981715,-0.055334056738217896
3y(10s15s30s),fly,21.7520981501213,-2.5865079285614456
3y(10s20s30s),fly,23.623666789676065,2.107208987631452
3y(15s20s30s),fly,11.093791450916967,-0.18431541372677884
5y(2s3s5s),fly,-4.642234788854353,0.08680444176172841
5y(2s3s7s),fly,-13.606919204984763,-0.07349928471091971
5y(2s3s10s),fly,-23.99405245324482,-1.4946704830059048
5y(2s3s15s),fly,-30.44398215391169,-4.742545089689997
5y(2s3s20s),fly,-27.448294186479927,-6.528152380634481
5y(2s3s30s),fly,-12.009537875070862,-9.177716148645516
5y(2s5s7s),fly,5.146050203679181,-0.06034503589148699
5y(2s5s10s),fly,-5.241083044580876,-1.481516234186472
5y(2s5s15s),fly,-11.691012745247747,-4.729390840870565
5y(2s5s20s),fly,-8.695324777815983,-6.514998131815048
5y(2s5s30s),fly,6.743431533593082,-9.164561899826083
5y(2s7s10s),fly,12.688285787679945,-1.1609087812411758
5y(2s7s15s),fly,6.238356087013074,-4.4087833879252685
5y(2s7s20s),fly,9.234044054444837,-6.194390678869752
5y(2s7s30s),fly,24.672800365853902,-8.843954446880787
5y(2s10s15s),fly,27.012622583533187,-1.5664409913352983
5y(2s10s20s),fly,30.00831055096495,-3.3520482822797817
5y(2s10s30s),fly,45.447066862374015,-6.001612050290817
5y(2s15s20s),fly,42.90816995229869,3.1437009310884036
5y(2s15s30s),fly,58.34692626370776,0.49413716307736877
