windows,ewma_short_spans,ewma_long_spans,retrain_label,retrain_every,svm_c,svm_gamma,z_threshold,total_pnl,sharpe,max_drawdown,n_trades,win_rate,exposure_bars,error
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,1.0,1.75,-30281.232880767882,-0.27007128765157495,-67841.32342865449,7.0,0.5,33,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,1.0,1.75,-51054.53208788359,-0.40237253185128874,-110524.62599490533,9.0,0.4807692307692308,48,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,1.0,1.75,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,0.1,1.0,2.25,20601.212563890665,0.7770793091750438,-4384.155661027358,2.0,0.5,3,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,0.1,1.0,2.25,17353.28674019612,0.25058640497201196,-35270.2454184654,7.0,0.5625,13,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,0.1,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,0.1,1.0,2.25,-34225.514209742745,-0.4920523106879999,-66898.09027047388,1.0,0.5454545454545454,11,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,0.1,1.0,2.25,-62066.137755254545,-0.568429047853734,-95445.31747525332,5.0,0.5161290322580645,29,
slow_daily,"[10, 20, 30]","[75, 100, 150]",20_bar,20.0,0.1,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",60_bar,60.0,0.1,1.0,2.25,-34225.514209742745,-0.4920523106879999,-66898.09027047388,1.0,0.5454545454545454,11,
fast_daily,"[5, 10, 14]","[30, 50, 75]",60_bar,60.0,0.1,1.0,2.25,-81176.16331119584,-0.7210741844451437,-107962.24094346227,9.0,0.48484848484848486,29,
slow_daily,"[10, 20, 30]","[75, 100, 150]",60_bar,60.0,0.1,1.0,2.25,0.0,0.0,0.0,0.0,0.0,0,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",single_split,,1.0,0.01,1.25,-31894.752627734353,-0.21458297547577626,-101494.4016374644,15.0,0.45555555555555555,83,
fast_daily,"[5, 10, 14]","[30, 50, 75]",single_split,,1.0,0.01,1.25,-64445.49640046092,-0.44314765459615757,-96411.0746288638,15.0,0.4794520547945205,66,
slow_daily,"[10, 20, 30]","[75, 100, 150]",single_split,,1.0,0.01,1.25,102669.95630216239,0.6211609541085413,-114889.795368213,3.0,0.5192307692307693,104,
matlab_daily,"[7, 14, 20]","[50, 75, 100]",20_bar,20.0,1.0,0.01,1.25,-79087.70950436116,-0.5202708537133325,-125627.21536608432,15.0,0.43478260869565216,85,
fast_daily,"[5, 10, 14]","[30, 50, 75]",20_bar,20.0,1.0,0.01,1.25,-71599.33121606492,-0.47153968458027606,-117999.04651320218,19.0,0.4673913043478261,83,
