windows,svr_c,svr_gamma,signal_threshold,retrain_every,total_pnl,sharpe,max_drawdown,n_trades,win_rate
fast,100.0,0.1,0.0,96,1656928.5782756577,0.3091142611470028,-5170781.94908166,55.0,0.49685157421289355
slow,100.0,0.1,0.0,96,-1229706.5863368139,-0.22922518755379948,-6535745.197961317,51.0,0.4973005398920216
matlab_hourly,100.0,0.1,0.0001,24,-6205909.872590426,-1.2000806231918644,-8241131.227924988,153.0,0.49746364558674333
fast,100.0,0.1,0.0001,24,-3120115.0526629323,-0.6134618891659003,-5952042.682682838,163.0,0.49930118798043327
slow,100.0,0.1,0.0001,24,-5011958.905112865,-0.9965058594644538,-7437196.036474444,153.0,0.4976303317535545
matlab_hourly,100.0,0.1,0.0001,48,-7141387.67815203,-1.351758073051934,-7377941.877207224,91.0,0.4909688013136289
fast,100.0,0.1,0.0001,48,-5321102.930978587,-1.056891542809093,-6301940.546055706,99.0,0.4944713199723566
slow,100.0,0.1,0.0001,48,-6731769.637739561,-1.320212863576045,-8033954.909766709,75.0,0.4966442953020134
matlab_hourly,100.0,0.1,0.0001,96,-1353354.6310987505,-0.26036803833643457,-6386362.327398118,55.0,0.490540989047461
fast,100.0,0.1,0.0001,96,508152.13959820376,0.09770573310668418,-5170781.949081658,59.0,0.49934426229508194
slow,100.0,0.1,0.0001,96,-3685094.998520651,-0.8089138980893124,-7319176.940062255,41.0,0.4923469387755102
matlab_hourly,100.0,0.1,0.0005,24,-2121359.4202287598,-0.5250760856543469,-5635141.2493831795,109.0,0.4890829694323144
fast,100.0,0.1,0.0005,24,-1382474.5767395552,-0.32460620229529147,-4340429.442768005,119.0,0.48531289910600256
slow,100.0,0.1,0.0005,24,-1286184.1872982604,-0.39592588067347334,-2962529.761026733,103.0,0.49725651577503427
matlab_hourly,100.0,0.1,0.0005,48,-4711948.248452278,-1.1984378248222813,-5022835.867789958,61.0,0.4871080139372822
fast,100.0,0.1,0.0005,48,-1879805.5781983072,-0.4313117010732143,-4492392.627831145,65.0,0.48426150121065376
slow,100.0,0.1,0.0005,48,-3804119.653102056,-0.9370426308319708,-5301926.533615626,61.0,0.49907235621521334
matlab_hourly,100.0,0.1,0.0005,96,-4611711.886877168,-1.2319710333686553,-6313677.953823863,39.0,0.4821986258588382
fast,100.0,0.1,0.0005,96,-1986530.5067163315,-0.49953507466097313,-5170781.949081657,41.0,0.4860759493670886
slow,100.0,0.1,0.0005,96,-3355493.2536989814,-0.9076022693508002,-6767788.129271142,39.0,0.49384787472035796
matlab_hourly,100.0,0.5,0.0,24,-1895758.0066814837,-0.35281264479177005,-7939525.08255186,155.0,0.5020995800839833
fast,100.0,0.5,0.0,24,1583389.62221729,0.2945852690524581,-4095552.1611328046,169.0,0.5062911923307369
slow,100.0,0.5,0.0,24,-6666552.950935423,-1.2414100556082637,-7856878.141420598,151.0,0.4970023980815348
matlab_hourly,100.0,0.5,0.0,48,-1377046.983557894,-0.25636228377414183,-5604958.371694744,115.0,0.495352323838081
