clock,bucket,k,beta,se_cluster,se_nw
exec,FV,27,-0.0039564492946437034,0.0020798738021186192,0.0023858401520446227
exec,FV,28,0.0016916001034052673,0.002632462107822504,0.0025074461245591212
exec,FV,29,0.0003771561712533456,0.0027477078249960652,0.003282648822935931
exec,FV,30,-0.0011507972854707161,0.004230932320524867,0.0070760669535194585
exec,TY_UXY,-30,-0.0007245282577401244,0.0018983619832086606,0.001999893754950641
exec,TY_UXY,-29,0.0028877781291413705,0.0023808991257570906,0.0026585689705794775
exec,TY_UXY,-28,0.0003669821481790471,0.0022055925269029632,0.0021886784154676467
exec,TY_UXY,-27,0.001640136933023062,0.001283911606086637,0.0018033926913265579
exec,TY_UXY,-26,0.0009770223236001548,0.0017193049707578353,0.002032530819302946
exec,TY_UXY,-25,0.004113204052191796,0.002656459555428526,0.0024663888801534266
exec,TY_UXY,-24,-0.00015137665086784068,0.001885258163748633,0.0018947407571483887
exec,TY_UXY,-23,-0.0012300530973216282,0.0015924979532868134,0.0016934031209420238
exec,TY_UXY,-22,0.00048318583935180493,0.001779216685670923,0.0017176494969677544
exec,TY_UXY,-21,0.0027328783836896085,0.001753234535325899,0.0019782792789874598
exec,TY_UXY,-20,0.0006584665339040092,0.001484811174231124,0.0019759949011017948
exec,TY_UXY,-19,0.0018222768565220734,0.0029711605446905206,0.002414726183182825
exec,TY_UXY,-18,-0.002335610424888076,0.0026459218086806935,0.002537467817303808
exec,TY_UXY,-17,0.00036961862047283706,0.0017859957084017074,0.0016996006807731415
exec,TY_UXY,-16,-0.0009210661039119142,0.0016014736312863402,0.002090409148276948
exec,TY_UXY,-15,5.937306665927599e-05,0.0026113658306586,0.0019969827800510537
exec,TY_UXY,-14,-0.001418523312058954,0.001547029755590412,0.0017536539544747475
exec,TY_UXY,-13,0.0009973164109395242,0.002220997986072543,0.002228266656022375
