curve_name,point,n_days,mean_bp,sd_bp,min_bp,max_bp,bias_to_noise
ZAR-ZARONIA-1D,1Yx1Y,44,-0.011927726359123819,0.07811511983462509,-0.25682072239012754,0.22244836977112215,0.15269420804033343
SEK-STINA-1D,5Yx5Y,44,0.0020464180252336124,0.013418376791636356,-0.020829863493920797,0.025575136064270865,0.15250861240602068
SEK-STINA-1D,5Yx10Y,44,0.0015895165942944349,0.010609576988210809,-0.02756897672866465,0.020556289753592694,0.14981903576935066
GBP-SONIA-1D,5Yx5Y,44,0.00014836771761475828,0.0010092038486586448,-0.0018088388718418003,0.002656624651109496,0.14701461732627863
JPY-TONAR-1D,5Yx5Y,43,-0.00023328861188361686,0.0016385816700289165,-0.006508808385063958,0.00222682965005383,0.1423722821697987
SGD-SORA-1D,1Yx10Y,44,0.0017260851577060134,0.013088389577668695,-0.0030314081400639736,0.08637073934831818,0.13187910914961196
EUR-ESTR-1D,1Yx10Y,44,0.002210231274408175,0.017555877100315215,-0.04414648405544064,0.08241571715967844,0.12589694389968648
NOK-NOWA-1D,5Yx5Y,44,0.00010027767420468918,0.0009434586013132842,-0.0026248179776366953,0.0022150993296943255,0.10628730721740598
ILS-SHIR-1D,5Yx5Y,44,-0.0014906819529445705,0.016353472564387305,-0.04089754338556517,0.028033521577741638,0.09115384803291288
CAD-CORRA-1D,5Yx5Y,44,0.0011583507352611296,0.014117117929746953,-0.02214825789792485,0.026907634132511404,0.08205291908912267
CAD-CORRA-1D,1Yx1Y,44,-0.06290983493152885,0.7921057794516774,-1.905738729499351,3.104981590773992,0.07942100229981554
NZD-NZIONA-1D,1Yx10Y,44,0.012783637950116016,0.16934752498270947,-0.3597674240661597,0.41798755885489314,0.07548759836567577
GBP-SONIA-1D,1Yx1Y,44,0.007600036177306132,0.11260069893472034,-0.3042462878748431,0.26204155297584464,0.06749546183289867
SEK-STINA-1D,10Yx10Y,44,-0.0005336326602701679,0.00902147285643661,-0.015558760249012593,0.023332144380727726,0.05915139010693065
NZD-NZIONA-1D,1Yx1Y,44,0.07636947250877592,1.3854904420781649,-2.9854225560388414,3.47622525136293,0.055120894514599186
CAD-CORRA-1D,2Yx5Y,44,0.0033970561767914342,0.0693629102349052,-0.10357904107860527,0.16618617890955534,0.048975110261188955
CAD-CORRA-1D,5Yx10Y,44,0.00039421145637516276,0.01312132156250153,-0.02248695608311202,0.03621170073593305,0.030043578651540025
GBP-SONIA-1D,5Yx10Y,44,2.3313506182131118e-05,0.0007772847698420526,-0.001417860023078532,0.0013526481496661802,0.029993519861283936
ILS-SHIR-1D,1Yx10Y,44,-0.0013417798254649665,0.04592705566910488,-0.084916269127433,0.08354807023556177,0.029215454940813495
USD-SOFR-1D,5Yx5Y,44,7.76761801485842e-05,0.00269757960649807,-0.010068703761678677,0.01102157623931177,0.02879476845149399
CAD-CORRA-1D,1Yx10Y,44,-0.002825475630651265,0.11478217750095517,-0.30148826576623655,0.4174295699858721,0.02461597864901764
AUD-AONIA-1D,2Yx5Y,44,0.0010708010448294432,0.06095794008787238,-0.10794922616996772,0.12429602117274285,0.017566227521564164
AUD-AONIA-1D,5Yx10Y,44,0.00020421715164374956,0.011858241139377161,-0.020197818237210896,0.027958572692021733,0.017221538105310935
USD-SOFR-1D,5Yx10Y,44,-4.5733052593406725e-05,0.002899283749116314,-0.011855403023020017,0.010157186607084867,0.01577391402526431
AUD-AONIA-1D,5Yx5Y,44,0.00018700023205879418,0.013920849322743428,-0.022371451686709065,0.02541092540448986,0.013433105101804337
SEK-STINA-1D,2Yx5Y,44,-0.0007542947405590119,0.08093996687123331,-0.16654703149003858,0.14127020442979976,0.009319187661134242
ILS-SHIR-1D,1Yx1Y,44,-0.00042595877651258556,0.04934151298561921,-0.11461091408677682,0.10358668669230298,0.00863286816188091
EUR-ESTR-1D,1Yx1Y,44,0.0006428009261599306,0.10965677624527939,-0.4092700558782525,0.22217084454365654,0.005861935287265045
ILS-SHIR-1D,10Yx10Y,44,0.0001234527805639051,0.02480585535314526,-0.04855179736678039,0.04772540230399969,0.004976759672520298
