TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_UnderlyingAssetType,Derived_SingleorMultiCurrency,Derived_CFIDeliveryType,Derived_ShortName,Derived_UnderlierName,Attributes_NotionalCurrency,Attributes_NotionalSchedule,Attributes_DeliveryType,Attributes_ReferenceRate,Attributes_ReferenceRateTermValue,Attributes_ReferenceRateTermUnit,Attributes_OtherNotionalCurrency,Attributes_OtherLegReferenceRate,Attributes_OtherLegReferenceRateTermValue,Attributes_OtherLegReferenceRateTermUnit,Attributes_Underlying_UnderlierCharacteristic,Attributes_Underlying_ReferenceRate,Attributes_Underlying_ReferenceRateTermValue,Attributes_Underlying_ReferenceRateTermUnit,Attributes_OtherLegUnderlying_OtherLegUnderlierCharacteristic,Attributes_OtherLegUnderlying_OtherLegReferenceRate,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermValue,Attributes_OtherLegUnderlying_OtherLegReferenceRateTermUnit,Derived_OptionExerciseStyle,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_UnderlyingInstrumentIndex,Attributes_UnderlyingInstrumentIndexTermValue,Attributes_UnderlyingInstrumentIndexTermUnit,Attributes_OptionType,Attributes_UnderlyingInstrumentUPI,Attributes_OptionExerciseStyle,Attributes_ValuationMethodorTrigger,Derived_ReturnorPayoutTrigger,Attributes_UnderlyingAssetType,Attributes_UnderlyingInstrumentISIN,Attributes_UnderlierCharacteristic,Attributes_ReturnorPayoutTrigger
1,Rates,Swap,Fixed_Fixed,UPI,QZWH5GM05LK5,New,,2024-04-17 07:02:42,SRDYSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd MYR,N/A,MYR,Custom,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ069R927GMW,New,,2024-04-19 21:06:54,SRDDSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd CLP,N/A,CLP,Amortizing,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZBFMR2ZBHTL,New,,2024-06-19 15:16:15,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd MXV,N/A,MXV,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ84X8NCQFWV,New,,2024-06-28 15:17:53,SRDYSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CZK,N/A,CZK,Custom,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ5TN14SFW1R,New,,2024-08-05 03:19:05,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd KRW,,KRW,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ44FPRRXPLN,New,,2024-08-30 09:42:07,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd VND,,VND,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZ2KS35FR0HF,New,,2024-09-04 02:01:33,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd JPY,N/A,JPY,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZKF6FPRBXPL,New,,2024-09-06 06:59:54,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd AUD,,AUD,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZS0J1RRCJZL,New,,2024-10-01 20:06:21,SRDISP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd TWD,,TWD,Accreting,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZFMLL5F8SJQ,New,,2024-10-16 12:30:35,SRDDSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd CZK,N/A,CZK,Amortizing,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZJ99NRBXF9Q,New,,2025-02-04 08:22:08,SRDYSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd TWD,N/A,TWD,Custom,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZMCLQWMPZW8,New,,2025-02-19 01:49:07,SRDCSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd TJS,,TJS,Constant,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZXWPLH87X5V,New,,2025-02-20 16:45:42,SRDCSC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd KZT,,KZT,Constant,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZW2C400JVRF,New,,2025-02-27 14:21:25,SRDYSP,Fixed - Fixed,Single Currency,Physical,NA/Swap Fxd Fxd AED,,AED,Custom,PHYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rates,Swap,Fixed_Fixed,UPI,QZX58GV2J8FG,New,,2025-03-17 16:18:06,SRDISC,Fixed - Fixed,Single Currency,Cash,NA/Swap Fxd Fxd BRL,,BRL,Accreting,CASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
