TemplateVersion,Header_AssetClass,Header_InstrumentType,Header_UseCase,Header_Level,Identifier_UPI,Identifier_Status,Identifier_StatusReason,Identifier_LastUpdateDateTime,Derived_ClassificationType,Derived_ShortName,Derived_UnderlierName,Derived_UnderlyingAssetType,Derived_ReturnorPayoutTrigger,Derived_DeliveryType,Derived_CFIDeliveryType,Attributes_NotionalCurrency,Attributes_OtherNotionalCurrency,Attributes_SettlementCurrency,Attributes_DeliveryType,Derived_ValuationMethodorTrigger,Derived_CFIOptionStyleandType,Attributes_OptionType,Attributes_OptionExerciseStyle,Attributes_UnderlyingAssetType,Attributes_ReturnorPayoutTrigger,Attributes_PlaceofSettlement,Attributes_ValuationMethodorTrigger
1,Foreign_Exchange,Forward,NDF,UPI,QZ26X4P751PW,New,,2023-12-13 03:15:44,JFTXFC,NA/Fwd NDF GBP XOF,GBP XOF,Spot,Forward price of underlying instrument,CASH,Cash,GBP,XOF,GBP,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZDG961B67N5,New,,2023-12-13 03:15:45,JFTXFC,NA/Fwd NDF HRK PLN,HRK PLN,Spot,Forward price of underlying instrument,CASH,Cash,HRK,PLN,PLN,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZGTHG9XG6L9,New,,2023-12-13 03:17:33,JFTXFC,NA/Fwd NDF AED EUR,AED EUR,Spot,Forward price of underlying instrument,CASH,Cash,AED,EUR,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZSC28N4Z8DR,New,,2023-12-13 03:18:34,JFTXFC,NA/Fwd NDF ARS AUD,ARS AUD,Spot,Forward price of underlying instrument,CASH,Cash,ARS,AUD,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ8JG8PC76HL,New,,2023-12-13 03:18:40,JFTXFC,NA/Fwd NDF TRY TWD,TRY TWD,Spot,Forward price of underlying instrument,CASH,Cash,TRY,TWD,XXX,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZZL0P8DNQK9,New,,2023-12-13 03:18:54,JFTXFC,NA/Fwd NDF CLP PEN,CLP PEN,Spot,Forward price of underlying instrument,CASH,Cash,CLP,PEN,PEN,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZCTVHJC564G,New,,2023-12-13 03:19:06,JFTXFC,NA/Fwd NDF GBP KES,GBP KES,Spot,Forward price of underlying instrument,CASH,Cash,GBP,KES,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZCC4V12L2F8,New,,2023-12-13 03:19:06,JFTXFC,NA/Fwd NDF JPY MXN,JPY MXN,Spot,Forward price of underlying instrument,CASH,Cash,JPY,MXN,JPY,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZR6DQBCSH9M,New,,2023-12-13 03:19:16,JFTXFC,NA/Fwd NDF USD XTS,USD XTS,Spot,Forward price of underlying instrument,CASH,Cash,USD,XTS,USD,,,,,,,,,
1,Foreign_Exchange,Forward,NDF,UPI,QZ50HLWZN5QT,New,,2023-12-13 03:19:41,JFTXFC,NA/Fwd NDF IDR SDG,IDR SDG,Spot,Forward price of underlying instrument,CASH,Cash,IDR,SDG,SDG,,,,,,,,,
