bank,Date,TimestampNYC,ts_local,local_hour,Title,Impact,Currency,EventId
FED,2021-09-09,2021-09-09 14:00:00-04:00,2021-09-09 14:00:00-04:00,14,FOMC Member Williams Speaks,low,USD,121939
FED,2021-09-24,2021-09-24 10:00:00-04:00,2021-09-24 10:00:00-04:00,10,FOMC Member Powell Speaks,high,USD,122342
FED,2021-09-25,2021-09-25 07:00:00-04:00,2021-09-25 07:00:00-04:00,7,FOMC Member Williams Speaks,medium,USD,122341
FED,2021-09-27,2021-09-27 08:00:00-04:00,2021-09-27 08:00:00-04:00,8,FOMC Member Evans Speaks,medium,USD,122649
FED,2021-09-27,2021-09-27 09:00:00-04:00,2021-09-27 09:00:00-04:00,9,FOMC Member Williams Speaks,low,USD,122650
FED,2021-09-27,2021-09-27 12:00:00-04:00,2021-09-27 12:00:00-04:00,12,FOMC Member Williams Speaks,medium,USD,122651
FED,2021-09-27,2021-09-27 12:50:00-04:00,2021-09-27 12:50:00-04:00,12,FOMC Member Brainard Speaks,medium,USD,122652
FED,2021-09-28,2021-09-28 09:00:00-04:00,2021-09-28 09:00:00-04:00,9,FOMC Member Evans Speaks,low,USD,122656
FED,2021-09-28,2021-09-28 10:00:00-04:00,2021-09-28 10:00:00-04:00,10,Fed Chairman Powell Testifies,high,USD,122676
FED,2021-09-28,2021-09-28 13:40:00-04:00,2021-09-28 13:40:00-04:00,13,FOMC Member Bowman Speaks,medium,USD,122677
FED,2021-09-28,2021-09-28 15:00:00-04:00,2021-09-28 15:00:00-04:00,15,FOMC Member Bostic Speaks,medium,USD,122657
FED,2021-09-29,2021-09-29 11:45:00-04:00,2021-09-29 11:45:00-04:00,11,FOMC Member Powell Speaks,high,USD,122659
FED,2021-09-29,2021-09-29 14:00:00-04:00,2021-09-29 14:00:00-04:00,14,FOMC Member Bostic Speaks,low,USD,122662
FED,2021-09-30,2021-09-30 10:00:00-04:00,2021-09-30 10:00:00-04:00,10,FOMC Member Williams Speaks,medium,USD,122663
