config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
TU|payrolls|m2|h240|mv2,TU,payrolls,2,240,2.0,0,,,,,,,,,
TU|payrolls|m5|h15|mv0,TU,payrolls,5,15,0.0,64,5.949880485714392,0.09296688258928737,0.4375,0.35207216065509434,0.12062444896664022,0.9649955917331218,-2.7792796788872733,8.519079796522663,2743.9583333333335
TU|payrolls|m5|h15|mv2,TU,payrolls,5,15,2.0,1,-2.7792796788872733,-2.7792796788872733,0.0,,0.0,0.0,0.0,365.25,0.0
TU|payrolls|m5|h30|mv0,TU,payrolls,5,30,0.0,64,4.159716153629541,0.06499556490046157,0.421875,0.12127795117033781,0.04155138538788475,0.332411083103078,-5.490657525916802,8.519079796522663,2743.9583333333335
TU|payrolls|m5|h30|mv2,TU,payrolls,5,30,2.0,1,0.4632132798145455,0.4632132798145455,1.0,,0.0,0.0,0.0,365.25,0.0
TU|payrolls|m5|h60|mv0,TU,payrolls,5,60,0.0,63,31.188191908930705,0.4950506652211223,0.5079365079365079,0.746216564352123,0.257684475250717,2.045307114706727,-4.659115986030155,8.385969174701996,2743.9583333333335
TU|payrolls|m5|h60|mv2,TU,payrolls,5,60,2.0,1,6.4849859174036375,6.4849859174036375,1.0,,0.0,0.0,0.0,365.25,0.0
TU|payrolls|m5|h120|mv0,TU,payrolls,5,120,0.0,64,38.48845798737158,0.601382156052681,0.40625,0.4982782154745748,0.17071652317486843,1.3657321853989475,-12.658237332658494,8.519079796522663,2743.9583333333335
TU|payrolls|m5|h120|mv2,TU,payrolls,5,120,2.0,1,17.370497993045458,17.370497993045458,1.0,,0.0,0.0,0.0,365.25,0.0
TU|payrolls|m5|h240|mv0,TU,payrolls,5,240,0.0,64,35.62739539230642,0.5566780530047878,0.453125,0.3352931117802376,0.114875731087476,0.919005848699808,-15.661491215857115,8.519079796522663,2743.9583333333335
TU|payrolls|m5|h240|mv2,TU,payrolls,5,240,2.0,1,27.097976869150912,27.097976869150912,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m1|h15|mv0,FV,tier1,1,15,0.0,465,32.048856097138746,0.06892227117664246,0.47956989247311826,0.5539178340443681,0.07027805037632048,1.5154659447126937,-15.24621765784298,62.12283776575478,2733.9583333333335
FV|tier1|m1|h15|mv2,FV,tier1,1,15,2.0,1,1.3560591074853223,1.3560591074853223,1.0,,0.0,0.0,0.0,365.25,0.0
FV|tier1|m1|h30|mv0,FV,tier1,1,30,0.0,462,22.844404675594518,0.0494467633670877,0.4588744588744589,0.2262026485765798,0.02879237773840594,0.6188687011910903,-36.850514790404944,61.72204526404023,2733.9583333333335
FV|tier1|m1|h30|mv2,FV,tier1,1,30,2.0,1,3.2932864038929255,3.2932864038929255,1.0,,0.0,0.0,0.0,365.25,0.0
