search,config,trades,gross_bp,tick_bp,net_bp,hit_rate,sr_per_trade,ann_sharpe,trades_per_year
CPI x TY brackets,fade|mv1|tp2b|sl2b|tr4|t238,60,0.5676620036498572,0.239,0.3287620036498569,0.6,0.1360351258383201,0.3824255195706646,7.90299314821493
CPI x TY brackets,fade|mv1|tp2b|sl2b|tr-|t238,60,0.5676620036498572,0.239,0.3287620036498569,0.6,0.1360351258383201,0.3824255195706646,7.90299314821493
consensus surprise,fade|e15|z1.5|tp2|sl0.5|t120,41,0.4890101508887144,0.239,0.2501101508887143,0.4146341463414634,0.1642042028930166,0.3815894638481022,5.400378651280202
consensus surprise,fade|e2|z1.5|tp5|sl5|t60,41,0.7368001374382805,0.239,0.4979001374382805,0.6097560975609756,0.1637891414865975,0.3806249144836582,5.400378651280202
consensus surprise,fade|e5|z1.5|tp5|slinf|t60,41,0.6876455808635615,0.239,0.4487455808635616,0.6097560975609756,0.1634751519941755,0.37989524325748797,5.400378651280202
consensus surprise,fade_then_flip|e15|z1|tp5|sl3|t240,122,0.5642585763433972,0.239,0.325358576343397,0.5,0.0945111668628217,0.3788638933948686,16.069419401370357
consensus surprise,fade_then_flip|e5|z1.5|tp1|sl3|t240,47,0.4905796036698558,0.239,0.2516796036698556,0.8297872340425532,0.1519571604147618,0.37808572102487936,6.1906779661016955
consensus surprise,fade|e5|z2|tp5|slinf|t240,32,0.9765118051396896,0.239,0.7376118051396895,0.625,0.1839777373626744,0.3777117020387096,4.2149296790479625
consensus surprise,fade_then_flip|e5|z2|tp5|sl3|t240,41,0.7832093410951031,0.239,0.5443093410951031,0.5609756097560976,0.1623694403947939,0.3773257116075974,5.400378651280202
consensus surprise,fade|e2|z2|tp3|sl5|t60,32,0.6897280483592196,0.239,0.4508280483592197,0.625,0.1826300398182375,0.3749448393702163,4.2149296790479625
CPI x TY brackets,momentum|mv3|tp0.25f|sl2f|tr-|t238,38,0.8016729670080425,0.239,0.5627729670080425,0.7894736842105263,0.1670620574955267,0.37375740137925856,5.005228993869456
CPI x TY brackets,momentum|mv3|tp0.25f|slinff|tr-|t238,38,0.8016729670080425,0.239,0.5627729670080425,0.7894736842105263,0.1670620574955267,0.37375740137925856,5.005228993869456
CPI x TY brackets,momentum|mv3|tp0.25f|sl1.5f|tr-|t238,38,0.8016729670080425,0.239,0.5627729670080425,0.7894736842105263,0.1670620574955267,0.37375740137925856,5.005228993869456
consensus surprise,fade|e2|z2|tp2|sl5|t60,32,0.6343454779848828,0.239,0.3954454779848828,0.65625,0.1818060215517844,0.37325310565072045,4.2149296790479625
CPI x TY brackets,momentum|mv2|tp0.25f|sl1.5f|tr-|t238,46,0.7131611322985464,0.239,0.4742611322985461,0.8043478260869565,0.1510280722291106,0.37175496057211416,6.0589614136314465
consensus surprise,fade_then_flip|e15|z2|tp2|sl5|t120,34,0.6782763175124538,0.239,0.4393763175124535,0.7058823529411765,0.1750285170662109,0.37039784329874825,4.4783627839884605
consensus surprise,fade_then_flip|e15|z2|tp2|sl5|t240,35,0.6952456973611822,0.239,0.4563456973611821,0.7142857142857143,0.1724775826021029,0.37032826142244896,4.61007933645871
