config,instrument,release_set,measure_min,hold_min,min_move_bp,trades,total_bp,avg_bp,hit_rate,sharpe,sr_per_trade,t_stat,max_dd_bp,trades_per_year,span_days
SR3 r3|tier1|m1|h15|mv0,SR3 r3,tier1,1,15,0.0,797,65.50000000000153,0.08218318695106842,0.42910915934755334,0.4530448137365222,0.044216429254057145,1.2482823458397925,-41.499999999999204,104.98203592814372,2772.8958333333335
SR3 r3|tier1|m1|h60|mv2,SR3 r3,tier1,1,60,2.0,292,172.49999999999375,0.5907534246575128,0.5171232876712328,0.9684301794551483,0.15612596148225774,2.6678815992914213,-21.500000000001762,38.475686563350216,2771.9583333333335
SR3 r3|tier1|m2|h15|mv0,SR3 r3,tier1,2,15,0.0,803,28.500000000003922,0.035491905354923935,0.41594022415940224,0.20350387457281152,0.019787301671373277,0.5607178059143896,-67.5000000000054,105.77236493136688,2772.8958333333335
SR3 r3|tier1|m2|h60|mv2,SR3 r3,tier1,2,60,2.0,300,145.99999999999937,0.4866666666666646,0.48,0.8339682576673778,0.13264385347597943,2.2974589353211803,-33.49999999999511,39.52981496234611,2771.9583333333335
SR3 r3|tier1|m5|h15|mv0,SR3 r3,tier1,5,15,0.0,823,-32.999999999995566,-0.04009720534628866,0.3669501822600243,-0.29020409814986,-0.02787245922251904,-0.7996044572789361,-50.4999999999967,108.40679494211076,2772.8958333333335
SR3 r3|tier1|m5|h60|mv2,SR3 r3,tier1,5,60,2.0,301,98.99999999999949,0.32890365448504816,0.49169435215946844,0.6144169318942214,0.09757792819829451,1.6929137820671576,-24.00000000000091,39.64817166169543,2772.8958333333335
SR3 r3|tier1+2|m1|h15|mv0,SR3 r3,tier1+2,1,15,0.0,1184,67.99999999999784,0.05743243243243061,0.3935810810810811,0.4349943853883455,0.03483254249197103,1.198563441576073,-41.500000000000625,155.9541556319378,2772.96875
SR3 r3|tier1+2|m1|h60|mv2,SR3 r3,tier1+2,1,60,2.0,291,154.4999999999945,0.5309278350515274,0.5189003436426117,0.8438141404990459,0.1362694619348445,2.3245828831210775,-23.000000000000398,38.34392051347573,2771.9583333333335
SR3 r3|tier1+2|m2|h15|mv0,SR3 r3,tier1+2,2,15,0.0,1239,15.000000000004832,0.012106537530270243,0.37530266343825663,0.09774745425953331,0.007651510482953531,0.26932882151573845,-85.50000000001603,163.19864765875923,2772.96875
SR3 r3|tier1+2|m2|h60|mv2,SR3 r3,tier1+2,2,60,2.0,299,132.49999999999744,0.44314381270902153,0.49498327759197325,0.7272690047750506,0.11586645545909946,2.0035183090493556,-39.999999999996305,39.39804891247162,2771.9583333333335
SR3 r3|tier1+2|m5|h15|mv0,SR3 r3,tier1+2,5,15,0.0,1343,-66.00000000001103,-0.049143708116166064,0.33283693224125094,-0.5196412024596316,-0.03906995833537207,-1.4317953723671946,-79.00000000000915,176.89732349129432,2772.96875
