,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
262,43,FFN26,9.896561289132796,15.0,-0.2868714749315376,96,96
263,43,FFQ26,-5.932585546324504,-30.0,0.15431724444821884,96,84
264,44,FFH26,3.714834835977568,5.0,0.06885909081536704,96,77
265,44,FFJ26,0.6248100713266672,1.0,0.11031009167048414,96,96
266,44,FFK26,-551.1119465318429,-5.0,0.8024141431339012,96,96
267,44,FFM26,0.3547178112490722,240.0,0.18355843272507555,96,96
268,44,FFN26,-11.986135435605053,-1.0,0.5755650225080831,96,96
269,44,FFQ26,-220.0915381427361,-15.0,-0.4615964225204409,96,95
270,45,FFH26,-0.7071824722770357,-60.0,-0.12332535035434863,96,63
271,45,FFJ26,0.12079527389949418,-1.0,0.26878951332950884,96,96
272,45,FFK26,-1.5154834892891584,-30.0,-0.41941848914941693,96,96
273,45,FFM26,-5.185882534648393,-30.0,0.4087872282746792,96,96
274,45,FFN26,0.27092762467324566,1.0,0.07124153769169199,96,96
275,45,FFQ26,2.7570507910523467,120.0,0.25564602900926275,96,96
276,46,FFH26,-1108.259285959868,-120.0,-0.5745824499605133,96,63
277,46,FFJ26,0.03423264495036741,15.0,0.06273802602663697,96,96
278,46,FFK26,-3.667590191152382,-60.0,0.19930856161926225,96,96
279,46,FFM26,-0.5360889807737206,-30.0,-0.2596485163909354,96,96
280,46,FFN26,0.10785873929924954,30.0,0.1862405526816125,96,96
281,46,FFQ26,-3.797223410475175,-1.0,-0.28157137063656074,96,96
282,47,FFH26,-2.769027523872184,-15.0,-0.1607832403246937,96,55
283,47,FFJ26,-4.900107734519739,-240.0,0.12916190237255096,96,92
284,47,FFK26,-0.021658571724033418,1.0,-0.06070662512247715,96,96
285,47,FFM26,0.06245565644587431,15.0,0.11007575403386011,96,96
286,47,FFN26,0.09263841749747773,15.0,-0.24309107903362992,96,96
287,47,FFQ26,7.856606504449312,30.0,-0.501240698822677,96,96
288,48,FFH26,0.002451155527718501,1.0,0.040378025682916416,96,78
289,48,FFJ26,0.02992271091701855,1.0,0.07704982146147361,96,96
290,48,FFK26,0.8522839094875839,60.0,0.4431856009637983,96,96
291,48,FFM26,-1.139687700305707,-1.0,-0.15241497554612263,96,96
292,48,FFN26,0.532026691841168,60.0,-0.22196816554415907,96,96
293,48,FFQ26,-2.951677815282119,-15.0,-0.21060974579559213,96,96
294,49,FFH26,-0.3242074383901709,-30.0,0.10936058661251553,96,91
295,49,FFJ26,-0.9748376646548457,-30.0,-0.45881717003778577,96,88
296,49,FFK26,-1.5460016749156673,-240.0,0.15716846893163988,96,96
297,49,FFM26,3.945820283072509,30.0,-0.30369068066684146,96,96
298,49,FFN26,238.5101202788865,30.0,-0.5539153344074695,96,96
299,49,FFQ26,6.431819654023959,15.0,-0.2833089196215491,96,96
300,50,FFH26,-661.0930023220423,-30.0,-0.6855631144385074,96,60
301,50,FFJ26,0.04869376172277042,0.0,0.32143627989209045,96,65
302,50,FFK26,-0.18462716140181124,-120.0,-0.14127181635471417,96,80
303,50,FFM26,0.6599084894267275,5.0,0.14647337173973637,96,96
304,50,FFN26,0.6038752639434382,1.0,-0.19779631404513182,96,96
305,50,FFQ26,4.176143757982082,30.0,0.3429726601555544,96,94
306,51,FFH26,0.0,-1440.0,0.0,96,67
307,51,FFJ26,0.30385700297544327,0.0,-0.14821706664346687,96,92
308,51,FFK26,0.4628436609708262,0.0,-0.26396800759128763,96,96
309,51,FFM26,-0.27395084122093755,-1.0,0.292089331013669,96,92
310,51,FFN26,-0.22406218009964973,-15.0,-0.3422063466291437,96,96
311,51,FFQ26,868.0367157592798,5.0,-0.7474821237907264,96,96
312,52,FFH26,145.17722636507924,120.0,-0.415921476684589,96,53
313,52,FFJ26,-0.18009405349787996,-30.0,0.09774723005668441,96,91
314,52,FFK26,-1.3208614616795866,-60.0,0.3756042570646773,96,96
315,52,FFM26,0.8335123850104614,1.0,0.1449708595808952,96,93
316,52,FFN26,-0.4268643168134467,-120.0,-0.291792585801257,96,96
317,52,FFQ26,1.2954155049184282,1.0,0.33373451992746506,96,96
318,53,FFH26,0.0,-1440.0,0.0,96,62
319,53,FFJ26,-0.03260288316059401,-240.0,-0.03219790895930269,96,78
320,53,FFK26,-32.97010879813178,-30.0,-0.2880897305091219,96,83
321,53,FFM26,-41.07095161781341,-30.0,-0.2739512381240036,96,92
322,53,FFN26,-1.35242794559811,-30.0,-0.1463655271885321,96,91
323,53,FFQ26,-7.500718921037233,-30.0,-0.13821107647852782,96,96
324,54,FFH26,0.0,-1440.0,0.0,96,63
325,54,FFJ26,-0.05870014086019293,-1.0,-0.11528254180978778,96,86
326,54,FFK26,0.0031990968996416192,-1.0,-0.17610080110722084,96,94
327,54,FFM26,0.03934113622594021,0.0,-0.06752729307595155,96,92
328,54,FFN26,-0.7912268734906475,-60.0,0.1319364578436587,96,96
329,54,FFQ26,-363.9179539591282,-60.0,0.8774161230839737,96,96
330,55,FFJ26,-0.057180657409328914,1.0,-0.05990901840937069,96,94
331,55,FFK26,0.008228848281515313,120.0,0.04532775977036265,96,96
332,55,FFM26,-47.56760770354125,-5.0,-0.23354741963382916,96,91
333,55,FFN26,-32.75363530847246,-5.0,-0.2548041899665316,96,83
334,55,FFQ26,-108.370121741195,-120.0,-0.37271823830705236,96,96
335,55,FFU26,0.14322004622161133,-120.0,-0.28640264883738026,96,96
336,56,FFJ26,0.4493142830209474,15.0,-0.15892059927989188,96,86
337,56,FFK26,10.888959676486197,60.0,0.2799427553114311,96,83
338,56,FFM26,-151.0518458515689,-30.0,0.5953470057300918,96,93
339,56,FFN26,-100.22632264703303,-240.0,-0.3664318965088027,96,90
340,56,FFQ26,-0.6670804365717488,-1.0,0.2565104612032364,96,96
341,56,FFU26,1.3851566424591626,1.0,0.2016976041199822,96,96
342,57,FFJ26,0.29593675162977756,1.0,-0.36434246682881194,96,31
343,57,FFK26,-0.03889168833390321,5.0,0.11584663072469592,96,35
344,57,FFM26,-8.175479336648197,-1.0,-0.13203564989441324,96,28
345,57,FFN26,-3.4177140382210363,-120.0,-0.22424640959510744,96,35
346,57,FFQ26,-5.852168844480117,-1.0,-0.24444528909796537,96,37
347,57,FFU26,-2.7762002397712764,-120.0,-0.26158627678147595,96,39
348,58,FFJ26,4.094473004895987,1.0,-0.17109602883350794,96,66
349,58,FFK26,67.52337976847227,60.0,-0.5016367871242311,96,93
350,58,FFM26,1.7937001567345345,60.0,-0.2574264376338321,96,60
351,58,FFN26,-57.273167466068124,-120.0,0.6648405625990574,96,93
352,58,FFQ26,-371.6785440727135,-240.0,-0.8746362222868532,96,87
353,58,FFU26,-38.11963215221515,-120.0,0.6579274653571973,96,92
354,59,FFJ26,-102.11095125874658,-1.0,0.1880327499799167,96,68
355,59,FFK26,10.03289862054822,-1.0,0.7138249827055639,96,91
356,59,FFM26,213.58870938810804,60.0,-0.5584861511531244,96,89
357,59,FFN26,-0.35931273558104815,-30.0,-0.17799436011951947,96,72
358,59,FFQ26,0.08611713598380567,30.0,-0.07899356562058996,96,90
359,59,FFU26,-0.03242437318175555,-30.0,-0.12697616814190416,96,96
360,60,FFJ26,0.0,-1440.0,0.0,96,82
361,60,FFK26,-8.401626862292835,-5.0,-0.2720111579267237,96,80
362,60,FFM26,1.4802074271894061,5.0,0.16904786940498934,96,72
363,60,FFN26,0.6092587920171686,15.0,-0.12602801839970443,96,92
364,60,FFQ26,-2.1723624594175184,-60.0,-0.25821250325154554,96,94
365,60,FFU26,-38.61109380199988,-1.0,-0.682218975580223,96,96
366,61,FFJ26,0.527652987353177,1.0,0.24997239854421346,96,63
367,61,FFK26,8.760142885333988,5.0,0.3984985579823891,96,96
368,61,FFM26,-3.7703693511981253,-30.0,-0.27083327365656945,96,77
369,61,FFN26,-1.7764433767424668,-15.0,0.20522484767132032,96,81
370,61,FFQ26,-44.670236616073254,-5.0,0.3827418736029401,96,94
371,61,FFU26,-3.9889382629786745,-15.0,-0.2914449699327412,96,91
372,62,FFJ26,0.62906585444751,240.0,0.1978666198959059,96,37
373,62,FFK26,-0.5792663781406312,-15.0,-0.13795945054072584,96,89
374,62,FFM26,0.22919805416010852,5.0,-0.05168629088911077,96,83
375,62,FFN26,-0.9543370927508847,-5.0,-0.20727675173714633,96,84
376,62,FFQ26,-3.811656723794347,-15.0,0.30604130816011116,96,92
377,62,FFU26,9.916830874596895,1.0,-0.5852980423862782,96,90
378,63,FFJ26,0.0,-1440.0,0.0,96,83
379,63,FFK26,-22.86745767950025,-1.0,-0.29475216970696905,96,84
380,63,FFM26,-77.60606308883125,-1.0,0.2787594695030134,96,74
381,63,FFN26,-11.134732522889628,-240.0,-0.36107648222289673,96,83
382,63,FFQ26,-2.8671274414950547,-60.0,-0.28163890655803414,96,86
383,63,FFU26,-0.44254327901674684,-1.0,-0.16942345746524864,96,85
384,64,FFJ26,-29.445260787739084,-15.0,0.5111810702420359,96,58
385,64,FFK26,0.004592825003826678,15.0,-0.05653751747548485,96,88
386,64,FFM26,-1.243506471187574,-30.0,-0.10231779586883344,96,70
387,64,FFN26,0.284239766660661,30.0,0.21666995157139057,96,86
388,64,FFQ26,0.02203110371581977,15.0,-0.15149708987526428,96,91
389,64,FFU26,-3.899873557816297,-30.0,-0.21515289082036312,96,81
390,65,FFJ26,0.0,-1440.0,0.0,96,93
391,65,FFK26,-15.697239420305108,-30.0,-0.42477584773152827,96,93
392,65,FFM26,-0.920285928447254,-15.0,0.49113923302447066,96,78
393,65,FFN26,-65.7904079345373,-5.0,0.3070365566118599,96,84
394,65,FFQ26,-6.965269634942586,-30.0,-0.3273378255046022,96,93
395,65,FFU26,15.844868482162163,1.0,0.5104531865413829,96,87
396,66,FFJ26,-0.0032857988229630123,15.0,0.0600285306032664,96,63
397,66,FFK26,-1.3268767702975577,-5.0,-0.09812789049888174,96,70
398,66,FFM26,0.03392270940611659,60.0,-0.16984889501914702,96,88
399,66,FFN26,-6.747982634699428,-120.0,0.38281847167294597,96,75
400,66,FFQ26,-0.040453539656955646,1.0,0.07008340766109948,96,80
401,66,FFU26,-1.2417227746443833,-30.0,-0.11689805958674028,96,77
402,67,FFJ26,1.0292453359746225,-15.0,0.29669411367356396,96,73
403,67,FFK26,1.0383978533019902,30.0,0.1800720468921253,96,96
404,67,FFM26,1.7320713479815875,15.0,-0.33262993020404946,96,92
405,67,FFN26,-0.12115074466138924,15.0,-0.21366339445921223,96,81
406,67,FFQ26,-12.107919475855802,-240.0,0.5209028986908242,96,93
407,67,FFU26,-5.124803845606812,-1.0,-0.25873779614971637,96,96
408,68,FFJ26,-0.7406971576167263,-1.0,-0.22953273919967726,96,67
409,68,FFK26,25.64857252375332,15.0,-0.46273034136255764,96,76
410,68,FFM26,-0.5829091865933386,-15.0,-0.4750367327673298,96,80
411,68,FFN26,-0.2827757764054305,1.0,-0.43146532680315774,96,94
412,68,FFQ26,0.3997203942180723,15.0,0.14081188252923385,96,94
413,68,FFU26,0.24883604022359204,5.0,0.09898392345332117,96,91
414,69,FFJ26,-12.635244867905854,-1.0,0.27197332416626063,96,77
415,69,FFK26,-0.2556690016627979,-1.0,0.1733958153762329,96,88
416,69,FFM26,-17.088569482976965,-120.0,0.19641322765951358,96,96
417,69,FFN26,137.3580536710171,5.0,-0.4377763243563113,96,83
418,69,FFQ26,12.706293516972302,5.0,-0.35563952209430727,96,90
419,69,FFU26,0.07909775269466583,15.0,0.24013239910385237,96,92
420,70,FFJ26,-0.1291442076138354,-1.0,0.06532806950537245,96,48
421,70,FFK26,-0.05812708844861742,-120.0,-0.03600138107474715,96,77
422,70,FFM26,0.015093675988188322,1.0,0.033101325438328465,96,75
423,70,FFN26,0.0146701692246635,5.0,-0.0837334430747757,96,80
424,70,FFQ26,-28.244114389111406,-120.0,0.4902907132825092,96,55
425,70,FFU26,-0.368662867347024,-60.0,-0.10118424787489642,96,79
426,71,FFJ26,0.0,-1440.0,0.0,96,28
427,71,FFK26,-2.651812596301482,-30.0,0.15542389715098617,96,81
428,71,FFM26,-69.12122647595055,-60.0,-0.4588798960721273,96,82
429,71,FFN26,1.6098947316267742,30.0,-0.13789265028797024,96,93
430,71,FFQ26,-6.191892137250458,-60.0,0.4565768894740544,96,85
431,71,FFU26,40.10129549239869,60.0,0.5435090096419226,96,87
432,72,FFJ26,0.0,-1440.0,0.0,96,31
433,72,FFK26,-11.324459313681693,-15.0,0.2404450891854316,96,84
434,72,FFM26,57.92154018719352,1.0,-0.47653006874995407,96,84
435,72,FFN26,-21.933572614370835,-120.0,-0.5626045274552792,96,76
436,72,FFQ26,-2.3882983278066097,-120.0,0.3749905753988288,96,94
437,72,FFU26,-0.6044038736892361,0.0,0.1299774293559122,96,86
438,73,FFJ26,-7.080767952045546,-5.0,0.22767775406288565,96,18
439,73,FFK26,-0.004510663545866913,1.0,0.12047897104684596,96,96
440,73,FFM26,0.14064862846081996,240.0,0.19071158894812124,96,89
441,73,FFN26,24.676614298036643,60.0,0.7068299640625341,96,88
442,73,FFQ26,-221.39414155925834,-60.0,0.19548662669179898,96,94
443,73,FFU26,-0.3081369382439237,-240.0,-0.06710989993780818,96,67
444,74,FFJ26,81.27251340247135,240.0,-0.6041978705033548,96,70
445,74,FFK26,-0.1340144913089402,-15.0,0.07637784794631981,96,96
446,74,FFM26,-0.5613884648972955,-120.0,0.14637769568226325,96,92
447,74,FFN26,235.71652566372924,1.0,-0.23294638536891774,96,91
448,74,FFQ26,0.024531502744092392,30.0,0.0338859288729002,96,88
449,74,FFU26,-0.2244964570747224,-60.0,0.12002202977809547,96,91
450,75,FFJ26,15.563827095679692,5.0,0.20999148103835144,96,76
451,75,FFK26,1.7784136342638504,30.0,0.13474066153149228,96,96
452,75,FFM26,-0.12997923750616816,-240.0,0.22618192395594675,96,94
453,75,FFN26,-1.488862667222486,-15.0,-0.1581826119788111,96,96
454,75,FFQ26,0.022975263817227067,-1.0,0.09282442909470817,96,96
455,75,FFU26,0.907480817300951,240.0,-0.15786150969119112,96,96
456,76,FFJ26,0.0,-1440.0,0.0,96,35
457,76,FFK26,-0.05367781047739082,-15.0,0.13193492141704166,96,66
