,day,bucket,lls,peak_lag_min,peak_rho,n_x,n_y
199,33,SFRM26,2.481620878037729,60.0,0.15837405896883933,96,96
200,33,SFRU26,0.8884691779258584,30.0,-0.37778535803830565,96,96
201,33,SFRZ26,-1.7738367826936876,-60.0,-0.21509881042995654,96,96
202,33,SFRH27,0.8229303084712883,1.0,0.2474758474065517,96,96
203,33,SFRM27,-0.08910228991139864,-120.0,-0.1674482520851115,96,96
204,34,SFRH26,5.379184176038356,15.0,-0.2245120293412724,96,96
205,34,SFRM26,-2.660773921963205,-30.0,0.330600451147699,96,96
206,34,SFRU26,-0.34550137644870726,-1.0,-0.13918813068019933,96,96
207,34,SFRZ26,-1.3542691041402466,-5.0,-0.20290496227184054,96,96
208,34,SFRH27,0.32690715559904354,60.0,-0.11255461034942499,96,96
209,34,SFRM27,3.7042509353859154,30.0,-0.22860289128908953,96,96
210,35,SFRH26,0.49007340311962366,240.0,-0.09905765135448334,96,96
211,35,SFRM26,3.3483802842477255,120.0,0.33143723922896556,96,96
212,35,SFRU26,0.21755692382254957,15.0,0.11119679466369173,96,96
213,35,SFRZ26,0.38493334716210753,120.0,0.1405048518797997,96,96
214,35,SFRH27,0.7245541163291848,1.0,-0.2858406346763406,96,96
215,35,SFRM27,0.14662660121248383,1.0,-0.2178491685590947,96,96
216,36,SFRH26,-1.2721744883127777,-1.0,-0.36738137700567836,96,96
217,36,SFRM26,-4.106777770535009,-1.0,-0.3929438806694109,96,96
218,36,SFRU26,6.3763942131301485,15.0,-0.39548708914199965,96,96
219,36,SFRZ26,-3.8950940233930136,-1.0,-0.3073954600111352,96,96
220,36,SFRH27,-21.049354458714294,-1.0,-0.35071765910463115,96,96
221,36,SFRM27,-3.040899992246233,-1.0,-0.2546434019671763,96,96
222,37,SFRH26,-2.3230703468836147,-1.0,-0.20398469206496792,96,96
223,37,SFRM26,-1.4398858725258523,30.0,0.24262840726122206,96,96
224,37,SFRU26,-531.6099825762552,-120.0,0.8467459213598865,96,96
225,37,SFRZ26,0.047083655467187416,0.0,0.08629779393876784,96,96
226,37,SFRH27,-1.824728429052719,-15.0,-0.15012449108283304,96,96
227,37,SFRM27,-1.1022536090342103,-1.0,-0.1350711010867591,96,96
228,38,SFRH26,-3.5180421921097245,-1.0,-0.35306829963808434,96,96
229,38,SFRM26,0.06298920102653528,15.0,0.21020677437653734,96,96
230,38,SFRU26,0.252904089054566,-120.0,-0.14238212817918863,96,96
231,38,SFRZ26,-1.6026312419341346,-1.0,-0.2632826262147945,96,96
232,38,SFRH27,0.08222735169313371,1.0,-0.29645008267889866,96,96
233,38,SFRM27,-2.8907381181429925,-1.0,-0.21836797286551318,96,96
234,39,SFRH26,-75.10423017296893,-1.0,-0.6492478641943757,96,96
235,39,SFRM26,-2.5132293681967837,-15.0,-0.12556559249166463,96,96
236,39,SFRU26,-3.3937125573669653,-60.0,-0.3967867030946786,96,96
237,39,SFRZ26,-0.7828711569171624,-60.0,-0.19481264951163743,96,96
238,39,SFRH27,-0.9970062113015904,-60.0,-0.2068640284594833,96,96
239,39,SFRM27,-1.8868028999129562,-30.0,0.2058625823552474,96,96
240,40,SFRH26,-1.7403905740121037,-60.0,-0.16215794640893222,96,96
241,40,SFRM26,0.7343285615916423,15.0,0.3026413737375725,96,96
242,40,SFRU26,-1.1560415444966217,-240.0,0.22461106448031856,96,96
243,40,SFRZ26,-1.334487315062249,-1.0,0.1445970168675396,96,96
244,40,SFRH27,0.11452159819142547,15.0,-0.1240079361991709,96,96
245,40,SFRM27,-3.466259685511516,-120.0,0.14625594729365018,96,96
246,41,SFRH26,-1.32746357601569,-1.0,0.28455887668926394,96,96
247,41,SFRM26,-15.15957995562331,-1.0,-0.4976733506349691,96,96
248,41,SFRU26,-5.308434187320485,-5.0,-0.27162658957646957,96,96
249,41,SFRZ26,-20.996537890243378,-15.0,0.36255548993474296,96,96
250,41,SFRH27,-13.321264192501431,-30.0,0.38657982323517154,96,96
251,41,SFRM27,-0.9614630201966439,-30.0,0.3350314761614463,96,96
252,42,SFRH26,0.3378151798298983,1.0,0.1335508000172513,96,96
253,42,SFRM26,-0.07405119957003342,60.0,-0.15895388195059626,96,96
254,42,SFRU26,-2.805628406963883,-60.0,0.2420855585541727,96,96
255,42,SFRZ26,-1.1727611678011631,-120.0,-0.22080927582064808,96,96
256,42,SFRH27,-2.6829373791757853,-1.0,0.21153749101245364,96,96
257,42,SFRM27,-0.40677245566585507,120.0,0.23229004912596762,96,96
