,ts,bucket,horizon_min,innovation,flow_signed_by_innovation,expected_sign
13458,2026-06-05 13:25:00-04:00,SFRZ26,30,-10455.516133067744,14496.0,-1
13459,2026-06-05 13:25:00-04:00,SFRZ26,60,-10455.516133067744,8739.0,-1
13460,2026-06-05 14:30:00-04:00,SFRZ26,5,-7856.939008642636,-0.0,-1
13461,2026-06-05 14:30:00-04:00,SFRZ26,15,-7856.939008642636,787.0,-1
13462,2026-06-05 14:30:00-04:00,SFRZ26,30,-7856.939008642636,-6358.0,-1
13463,2026-06-05 14:30:00-04:00,SFRZ26,60,-7856.939008642636,1639.0,-1
13464,2026-06-08 11:35:00-04:00,SFRZ26,5,-23950.594985815565,13.0,-1
13465,2026-06-08 11:35:00-04:00,SFRZ26,15,-23950.594985815565,-107.0,-1
13466,2026-06-08 11:35:00-04:00,SFRZ26,30,-23950.594985815565,708.0,-1
13467,2026-06-08 11:35:00-04:00,SFRZ26,60,-23950.594985815565,1035.0,-1
13468,2026-06-08 13:25:00-04:00,SFRZ26,5,-8660.34661048438,-0.0,-1
13469,2026-06-08 13:25:00-04:00,SFRZ26,15,-8660.34661048438,-0.0,-1
13470,2026-06-08 13:25:00-04:00,SFRZ26,30,-8660.34661048438,-206.0,-1
13471,2026-06-08 13:25:00-04:00,SFRZ26,60,-8660.34661048438,-206.0,-1
13472,2026-06-08 14:00:00-04:00,SFRZ26,5,-12109.197305118603,-0.0,-1
13473,2026-06-08 14:00:00-04:00,SFRZ26,15,-12109.197305118603,-0.0,-1
13474,2026-06-08 14:00:00-04:00,SFRZ26,30,-12109.197305118603,-0.0,-1
13475,2026-06-08 14:00:00-04:00,SFRZ26,60,-12109.197305118603,1831.0,-1
13476,2026-06-08 14:10:00-04:00,SFRZ26,5,-12316.353683298137,-0.0,-1
13477,2026-06-08 14:10:00-04:00,SFRZ26,15,-12316.353683298137,-0.0,-1
13478,2026-06-08 14:10:00-04:00,SFRZ26,30,-12316.353683298137,-0.0,-1
13479,2026-06-08 14:10:00-04:00,SFRZ26,60,-12316.353683298137,1831.0,-1
13480,2026-06-09 09:05:00-04:00,SFRZ26,5,-16968.42006199871,-0.0,-1
13481,2026-06-09 09:05:00-04:00,SFRZ26,15,-16968.42006199871,5401.0,-1
13482,2026-06-09 09:05:00-04:00,SFRZ26,30,-16968.42006199871,318.0,-1
13483,2026-06-09 09:05:00-04:00,SFRZ26,60,-16968.42006199871,-12764.0,-1
13484,2026-06-09 10:00:00-04:00,SFRZ26,5,-26416.544532987104,-900.0,-1
13485,2026-06-09 10:00:00-04:00,SFRZ26,15,-26416.544532987104,2316.0,-1
13486,2026-06-09 10:00:00-04:00,SFRZ26,30,-26416.544532987104,3586.0,-1
13487,2026-06-09 10:00:00-04:00,SFRZ26,60,-26416.544532987104,6644.0,-1
13488,2026-06-09 10:10:00-04:00,SFRZ26,5,-23482.887838638315,-0.0,-1
13489,2026-06-09 10:10:00-04:00,SFRZ26,15,-23482.887838638315,1270.0,-1
13490,2026-06-09 10:10:00-04:00,SFRZ26,30,-23482.887838638315,4224.0,-1
13491,2026-06-09 10:10:00-04:00,SFRZ26,60,-23482.887838638315,2068.0,-1
13492,2026-06-09 11:55:00-04:00,SFRZ26,5,83043.53165087326,14065.0,-1
13493,2026-06-09 11:55:00-04:00,SFRZ26,15,83043.53165087326,14065.0,-1
13494,2026-06-09 11:55:00-04:00,SFRZ26,30,83043.53165087326,22555.0,-1
13495,2026-06-09 11:55:00-04:00,SFRZ26,60,83043.53165087326,13557.0,-1
13496,2026-06-09 12:00:00-04:00,SFRZ26,5,-14464.188518601983,-0.0,-1
13497,2026-06-09 12:00:00-04:00,SFRZ26,15,-14464.188518601983,-8490.0,-1
13498,2026-06-09 12:00:00-04:00,SFRZ26,30,-14464.188518601983,-8490.0,-1
13499,2026-06-09 12:00:00-04:00,SFRZ26,60,-14464.188518601983,851.0,-1
13500,2026-06-09 12:05:00-04:00,SFRZ26,5,-17732.39136738706,-0.0,-1
13501,2026-06-09 12:05:00-04:00,SFRZ26,15,-17732.39136738706,-8490.0,-1
13502,2026-06-09 12:05:00-04:00,SFRZ26,30,-17732.39136738706,-8490.0,-1
13503,2026-06-09 12:05:00-04:00,SFRZ26,60,-17732.39136738706,713.0,-1
13504,2026-06-09 12:10:00-04:00,SFRZ26,5,-54085.31380777123,-8490.0,-1
13505,2026-06-09 12:10:00-04:00,SFRZ26,15,-54085.31380777123,-8490.0,-1
13506,2026-06-09 12:10:00-04:00,SFRZ26,30,-54085.31380777123,12511.0,-1
13507,2026-06-09 12:10:00-04:00,SFRZ26,60,-54085.31380777123,1664.0,-1
13508,2026-01-12 08:05:00-05:00,SFRH27,5,-8166.041259532707,-4395.0,-1
13509,2026-01-12 08:05:00-05:00,SFRH27,15,-8166.041259532707,-4395.0,-1
13510,2026-01-12 08:05:00-05:00,SFRH27,30,-8166.041259532707,-5212.0,-1
13511,2026-01-12 08:05:00-05:00,SFRH27,60,-8166.041259532707,-7160.0,-1
13512,2026-01-12 10:05:00-05:00,SFRH27,5,-4975.0215151786215,-0.0,-1
13513,2026-01-12 10:05:00-05:00,SFRH27,15,-4975.0215151786215,-3279.0,-1
