trade_id,opened_at,role,cusip,w,cost_bp
123,2023-01-06,belly,912810RY6,1.0,0.4551906880185992
123,2023-01-06,back,912810RZ3,-0.6630036630036658,0.44849731282282823
124,2023-01-30,front,912810RH3,-0.5,0.6992445842491203
124,2023-01-30,belly,912810RJ9,1.0,0.6973744514650247
124,2023-01-30,back,912810RK6,-0.5,0.7363833339654235
125,2023-02-06,front,912810RJ9,-0.6630036630036626,0.7014127345246691
125,2023-02-06,belly,912810RK6,1.0,0.7405226188423635
125,2023-02-06,back,912810RN0,-0.33699633699633735,0.7015274519535786
126,2023-02-06,front,912810RK6,-0.5041095890410945,0.7405226188423635
126,2023-02-06,belly,912810RN0,1.0,0.7015274519535786
126,2023-02-06,back,912810RQ3,-0.4958904109589055,0.8396176559320845
127,2023-02-13,front,912810RB6,-0.5,0.806201778051189
127,2023-02-13,belly,912810RC4,1.0,0.6280996637531043
127,2023-02-13,back,912810RD2,-0.5,0.7330049693113255
128,2023-02-21,front,912810SZ2,-0.5,0.35896429265981095
128,2023-02-21,belly,912810TB4,1.0,0.24434780031103354
128,2023-02-21,back,912810TD0,-0.5,0.22870534011426297
129,2023-02-21,front,912810TB4,-0.4945054945054964,0.24434780031103354
129,2023-02-21,belly,912810TD0,1.0,0.22870534011426297
129,2023-02-21,back,912810TG3,-0.5054945054945036,0.315971615000632
130,2023-02-21,front,912810SU3,-0.33699633699633735,0.3682868923284824
130,2023-02-21,belly,912810SZ2,1.0,0.35896429265981095
130,2023-02-21,back,912810TB4,-0.6630036630036626,0.24434780031103354
131,2023-02-21,front,912810SL3,-0.5082872928176804,0.36805625031578043
131,2023-02-21,belly,912810SN9,1.0,0.41087712215047795
131,2023-02-21,back,912810SP4,-0.49171270718231963,0.3998423877308216
132,2023-02-21,front,912810SP4,-0.49999999999999645,0.3998423877308216
132,2023-02-21,belly,912810SS8,1.0,0.3862816133805512
132,2023-02-21,back,912810SU3,-0.5000000000000036,0.3682868923284824
133,2023-02-21,front,912810SS8,-0.6630036630036658,0.3862816133805512
133,2023-02-21,belly,912810SU3,1.0,0.3682868923284824
133,2023-02-21,back,912810SZ2,-0.33699633699633424,0.35896429265981095
134,2023-03-07,front,912810SN9,-0.5,0.40337520261985677
134,2023-03-07,belly,912810SP4,1.0,0.3924794542932577
134,2023-03-07,back,912810SS8,-0.5,0.379500821243964
135,2023-04-26,front,912810TB4,-0.4945054945054928,0.3437407832363525
135,2023-04-26,belly,912810TD0,1.0,0.3216744760294827
135,2023-04-26,back,912810TG3,-0.5054945054945073,0.2966210383531093
136,2023-04-26,front,912810SU3,-0.33699633699633735,0.46080709879975484
136,2023-04-26,belly,912810SZ2,1.0,0.33653353995530044
136,2023-04-26,back,912810TB4,-0.6630036630036626,0.3437407832363525
137,2023-04-26,front,912810SZ2,-0.5,0.33653353995530044
137,2023-04-26,belly,912810TB4,1.0,0.3437407832363525
137,2023-04-26,back,912810TD0,-0.5,0.3216744760294827
