signal,horizon,n_dates,ic_mean,ic_sd,ic_t_naive,ic_t,ic_hit,ic_ir
agg_act__tlt_only__w1__book,21,1476,-0.047364667529514945,0.22298911100577806,-8.160448264623842,-2.673689834690128,0.40176151761517614,-0.735802840548586
agg_act__tlt_only__w1__book,42,1455,-0.047341935794177656,0.2316252551976,-7.796354853404667,-1.7731173311608162,0.41718213058419246,-0.5006517360656945
agg_act__tlt_only__w1__book,63,1434,-0.04304229770129895,0.23382167980834045,-6.970842115678989,-1.3410614019722231,0.43654114365411434,-0.36816344606351276
agg_act__tlt_only__w1__equal,5,1492,-0.018593473055271762,0.2149829982724214,-3.340725674862586,-2.0644558525490213,0.45308310991957107,-0.6140046659904373
agg_act__tlt_only__w1__equal,10,1487,-0.027755513877677045,0.22050050998167314,-4.8539484359824225,-2.222888550618001,0.45729657027572296,-0.6318877624172642
agg_act__tlt_only__w1__equal,21,1476,-0.047364667529514945,0.22298911100577806,-8.160448264623842,-2.673689834690128,0.40176151761517614,-0.735802840548586
agg_act__tlt_only__w1__equal,42,1455,-0.047341935794177656,0.2316252551976,-7.796354853404667,-1.7731173311608162,0.41718213058419246,-0.5006517360656945
agg_act__tlt_only__w1__equal,63,1434,-0.04304229770129895,0.23382167980834045,-6.970842115678989,-1.3410614019722231,0.43654114365411434,-0.36816344606351276
agg_floattwin__board__w025,5,1491,-0.0049698569960977676,0.19362798272878531,-0.9910934210399294,-0.6177952699277347,0.4902749832327297,-0.18221790106047017
agg_floattwin__board__w025,10,1486,-0.004322126893338277,0.18973925584807397,-0.8781116215311429,-0.4220147049056105,0.4993270524899058,-0.1143511642364466
agg_floattwin__board__w025,21,1475,-0.01155299876377228,0.1842206284919137,-2.4085323141044426,-0.8742580213365202,0.4766101694915254,-0.2172436496655679
agg_floattwin__board__w025,42,1454,-0.024052266490739813,0.188782859608679,-4.858202911909809,-1.3096375549035626,0.42916093535075656,-0.3120822524983415
agg_floattwin__board__w025,63,1433,-0.025414093822280368,0.1881845203664159,-5.112270529480214,-1.1064333944082245,0.44452198185624564,-0.2700976017878234
agg_floattwin__board__w05,5,1492,-0.009528638034776299,0.20518620715385644,-1.7937713267667104,-1.0926236323128113,0.47117962466487934,-0.3296840481821126
agg_floattwin__board__w05,10,1487,-0.008692320449603356,0.20962337275633747,-1.5990112103235783,-0.7509776320881665,0.48957632817753866,-0.20815952808262306
agg_floattwin__board__w05,21,1476,-0.020624403639137392,0.20908277687557064,-3.789712977734674,-1.2872637387236645,0.43902439024390244,-0.34170691161284505
agg_floattwin__board__w05,42,1455,-0.027095359320582716,0.21610241605921604,-4.782630057914728,-1.2019634413689677,0.4240549828178694,-0.3071219930951878
agg_floattwin__board__w05,63,1434,-0.03816554592520249,0.22253027628671176,-6.4946678827644195,-1.242335199404734,0.4246861924686193,-0.3430144118998833
agg_floattwin__board__w1,5,1492,-0.01026194808433023,0.23370454095583026,-1.6960828930710423,-1.019670265571708,0.492627345844504,-0.3117295197532242
agg_floattwin__board__w1,10,1487,-0.013050668994578778,0.24074737044088962,-2.0903870524333663,-0.9469949623144446,0.484196368527236,-0.2721269116409138
agg_floattwin__board__w1,21,1476,-0.018332654855415638,0.23791933827727793,-2.9603209430012183,-1.0048951457513697,0.4742547425474255,-0.2669231503174257
agg_floattwin__board__w1,42,1455,-0.019170375147990967,0.24248196518235984,-3.015662012286504,-0.7349518029501918,0.4529209621993127,-0.19365414353597257
agg_floattwin__board__w1,63,1434,-0.013956514956871106,0.2577988471547523,-2.05007896759848,-0.37634041667817936,0.47280334728033474,-0.10827445592488041
agg_own__coupon_long__w025,5,1491,0.001045419340478254,0.1782388407979393,0.22647851205937353,0.1444623562376578,0.49295774647887325,0.04163930284135626
agg_own__coupon_long__w025,10,1486,0.0002810769904259268,0.1772662177929125,0.061123571280220355,0.02964640370616388,0.48721399730820997,0.007959752913866587
agg_own__coupon_long__w025,21,1475,-0.0033583640354792068,0.17519266240684472,-0.7362204351632744,-0.25771164474037855,0.49830508474576274,-0.06640525989899872
agg_own__coupon_long__w025,42,1454,-0.008832364109052077,0.18493526945855404,-1.8211236028752313,-0.43686711504893033,0.4951856946354883,-0.11698571804605355
agg_own__coupon_long__w025,63,1433,-0.014143649216228486,0.1886270084816357,-2.838446381068464,-0.5474365060944847,0.46266573621772505,-0.14996420003772132
agg_own__coupon_long__w05,5,1492,-0.004159459044424232,0.20843708793661533,-0.7708080950235212,-0.47968520484429794,0.49463806970509383,-0.14166974872820404
agg_own__coupon_long__w05,10,1487,-0.005350143757758752,0.20750111132955043,-0.9942612388855231,-0.4590907510860499,0.4821788836583726,-0.12943308273328044
agg_own__coupon_long__w05,21,1476,-0.01201115694640844,0.2073278426135904,-2.225719301189016,-0.7462700329806371,0.46815718157181574,-0.2006863509175353
agg_own__coupon_long__w05,42,1455,-0.011444117591038474,0.21585607613558602,-2.0223183854712303,-0.47811756305951403,0.46804123711340206,-0.1298654601543175
agg_own__coupon_long__w05,63,1434,-0.007460090403926559,0.21649171758439353,-1.304900447548466,-0.26186651052270643,0.4783821478382148,-0.06891802131893052
agg_own__coupon_long__w1,5,1492,-0.01429249230759294,0.22055215722176522,-2.5031165330599072,-1.5401904261525723,0.4718498659517426,-0.46005729904171433
agg_own__coupon_long__w1,10,1487,-0.02476728884820517,0.22422541225569728,-4.2594068228278115,-1.9882056030917306,0.4606590450571621,-0.5544902427371482
agg_own__coupon_long__w1,21,1476,-0.0445306719843158,0.223423959556987,-7.657247476698233,-2.7007098683072575,0.40582655826558267,-0.6904307534872612
agg_own__coupon_long__w1,42,1455,-0.05756812840484512,0.21267364729835952,-10.325234594784117,-2.8261218898667604,0.41237113402061853,-0.6630466060567757
agg_own__coupon_long__w1,63,1434,-0.06358077069136983,0.20047106927726618,-12.010156227622144,-2.7497774354598263,0.39191073919107394,-0.6343136784832825
agg_own__coupon_long_govt__w025,5,1491,0.0009208387823054941,0.18062751114343992,0.19685140812713187,0.12684197955060045,0.5050301810865191,0.036192199088645564
