trade_id,opened_at,closed_at,hold_days,belly,side,score,ttm_belly,wing_span_y,a,R_entry_bp,R_exit_bp,price_bp,carry_bp,gross_bp,cost_bp,pnl_bp,convexity_bp,year,month
192,2024-05-16,2024-07-18,42,912810RQ3,-1.0,-5.0,21.754962354551676,0.7474332648870607,0.32600732600732685,-0.0586226746276175,0.2594811575753475,0.318103832202965,0.018088711171776812,0.3361925433747418,1.1404501820521786,-0.8042576386774368,1.8562817590887732,2024,5
193,2024-05-16,2024-07-18,42,912810RS9,-1.0,-5.0,21.998631074606433,0.7474332648870643,0.6739926739926747,-0.05689882266366464,0.07374662182704217,0.1306454444907068,0.07807353356843989,0.2087189780591467,1.087995001483594,-0.8792760234244472,5.953340691575704,2024,5
194,2024-05-23,2024-07-25,42,912810TG3,1.0,2.065350026346853,27.980835044490075,0.4982888432580417,0.5054945054945073,0.291278916984572,0.3695058298633924,-0.07822691287882044,0.0622358320446715,-0.015991080834148942,0.6412178850199282,-0.6572089658540771,-10.308554742190978,2024,5
195,2024-05-23,2024-07-25,42,912810TL2,-1.0,-4.379977983624438,28.484599589322382,0.5037645448323076,0.5,-0.9565353393554243,-1.3549852371216087,-0.39844989776618434,-0.13799154052102947,-0.5364414382872138,0.40412240619859785,-0.9405638444858117,-20.87677705107211,2024,5
196,2024-05-23,2024-07-25,42,912810TJ7,-1.0,-4.379977983624438,28.23271731690623,0.5037645448323076,0.5,0.3692612043804111,0.606539249420246,0.23727804503983485,0.07568566075011009,0.3129637057899449,0.5476629564656921,-0.23469925067574715,12.127486204543374,2024,5
197,2024-05-23,2024-07-25,42,912810TR9,-1.0,-4.379977983624438,28.980150581793293,0.4955509924709105,0.5082872928176804,-0.0812203844608117,0.313717146604775,0.3949375310655867,0.11312768611339603,0.5080652171789828,0.3285763140364026,0.1794889031425802,12.562867214101175,2024,5
198,2024-06-07,2024-08-08,42,912810TV0,1.0,1.8519762786255993,29.44284736481862,0.5037645448323076,0.5,-0.9722709655759942,-1.7324018478393377,0.7601308822633435,0.05689863172169285,0.8170295139850363,0.2914014009562441,0.5256281130287922,-11.411054698581353,2024,6
199,2024-06-07,2024-08-08,42,912810TN8,-1.0,-3.2783005016922875,28.695414099931554,0.4955509924709105,0.49171270718231963,0.5482099332862589,0.7313010705768619,0.183091137290603,-0.004842638473925708,0.1782484988166773,0.3298856511304308,-0.1516371523137535,1.9436783698629654,2024,6
200,2024-07-01,2024-08-29,42,912810TD0,1.0,1.564121224449853,27.633127994524298,0.49828884325804523,0.4945054945054964,-0.21114468949092746,-0.030018586325919472,-0.181126103165008,-0.020259153167118075,-0.20138525633212606,0.8301523847237233,-1.0315376410558494,1.0375213071508824,2024,7
201,2024-07-09,2024-09-06,42,912810TX6,1.0,2.5465190062882925,29.607118412046542,0.4955509924709105,0.49171270718231963,0.36196945780551104,0.9305400216117032,-0.5685705638061922,-0.06355581588508463,-0.6321263796912768,0.4642937354024023,-1.0964201150936792,8.044677305536112,2024,7
