date,pnl,cost,in_pos,richness,nb32,equity,pnl_32nds,pnl_volbp
2020-03-26,0.0,0.0,0,-0.010570616917939235,-51.85980999449657,0.0,0.0,0.0
2020-03-27,0.0,0.0,0,0.1676687360389085,5.0679205836440815,0.0,0.0,0.0
2020-03-30,0.0,0.0,0,-0.048699891235364626,-35.121950636605106,0.0,0.0,0.0
2020-03-31,0.0,0.0,0,-0.04742734301567544,-31.573824454859277,0.0,0.0,0.0
2020-04-01,0.0,0.0,0,-0.40140385075841156,-2.7042101074011953,0.0,0.0,0.0
2020-04-02,0.0,0.0,0,-0.1961772973199339,-5.74417868126784,0.0,0.0,0.0
2020-04-03,0.0,0.0,0,-0.021669917173316434,-42.22230276745995,0.0,0.0,0.0
2020-04-06,0.0,0.0,0,-0.40332283242821876,-2.465659212353785,0.0,0.0,0.0
2020-04-07,0.0,0.0,0,0.35356175916114746,2.544970367754104,0.0,0.0,0.0
2020-04-08,0.0,0.0,0,-0.16297882924419924,-7.339815981345964,0.0,0.0,0.0
2020-04-09,0.0,0.0,0,-0.4545529100814494,-2.4584572287258197,0.0,0.0,0.0
2020-04-13,0.0,0.0,0,-0.17698842774036913,-5.007364313331891,0.0,0.0,0.0
2020-04-14,0.0,0.0,0,-0.18037164932746322,-5.021649757451087,0.0,0.0,0.0
2020-04-15,0.0,0.0,0,0.3886385397462185,2.587451137265816,0.0,0.0,0.0
2020-04-16,0.0,0.0,0,0.1875029224400146,5.271788932064737,0.0,0.0,0.0
2020-04-17,0.0,0.0,0,0.11584017818778503,6.9904885245341575,0.0,0.0,0.0
2020-04-20,0.0,0.0,0,0.17855895438266126,4.808261954347472,0.0,0.0,0.0
2020-04-21,0.0,0.0,0,-0.0987755739561444,-5.045899534047749,0.0,0.0,0.0
2020-04-22,0.0,0.0,0,0.37992085665506525,0.5852720376105935,0.0,0.0,0.0
2020-04-23,0.0,0.0,0,0.006917078499440643,16.583965997881023,0.0,0.0,0.0
2020-04-24,0.0,0.0,0,0.18193465977121,3.023407124833284,0.0,0.0,0.0
2020-04-27,0.0,0.0,0,0.0198065476854755,7.038818304685265,0.0,0.0,0.0
2020-04-28,0.0,0.0,0,0.013228445700020536,9.40997306854024,0.0,0.0,0.0
2020-04-29,0.0,0.0,0,0.02544125448224014,7.976717304061822,0.0,0.0,0.0
2020-04-30,0.0,0.0,0,0.024271678647555105,4.985753683080475,0.0,0.0,0.0
2020-05-01,0.0,0.0,0,0.005399737268738591,12.609501128376905,0.0,0.0,0.0
2020-05-04,0.0,0.0,0,0.007530574057660542,12.753734442503628,0.0,0.0,0.0
2020-05-05,0.0,0.0,0,0.008765532087718169,7.201399214209232,0.0,0.0,0.0
2020-05-06,0.0,0.0,0,0.0042400912361376004,9.85307131551508,0.0,0.0,0.0
2020-05-07,0.0,0.0,0,0.004146611812647748,12.526889029119957,0.0,0.0,0.0
2020-05-08,0.0,0.0,0,-0.04169785054039387,-2.4112902359884174,0.0,0.0,0.0
2020-05-11,0.0,0.0,0,0.0035833371948025103,16.001654861246607,0.0,0.0,0.0
2020-05-12,0.0,0.0,0,0.021490218261599647,8.848134732278595,0.0,0.0,0.0
2020-05-13,0.0,0.0,0,0.006959714437769267,8.167969866104613,0.0,0.0,0.0
2020-05-14,0.0,0.0,0,0.11031505368684295,1.8164064847660484,0.0,0.0,0.0
2020-05-15,0.0,0.0,0,0.03234190941774453,2.4921992002964544,0.0,0.0,0.0
2020-05-18,0.0,0.0,0,0.004804503792009417,17.33391114832193,0.0,0.0,0.0
2020-05-19,0.0,0.0,0,0.007313250825241187,7.8555786295191865,0.0,0.0,0.0
2020-05-20,0.0,0.0,0,0.0038931117196089656,3.780432934889177,0.0,0.0,0.0
2020-05-21,0.0,0.0,0,0.0006470140612022887,11.636017219218047,0.0,0.0,0.0
2020-05-22,0.0,0.0,0,5.479930355443058e-06,4.305127395145973,0.0,0.0,0.0
2020-05-26,0.0,0.0,0,8.851048352142704e-07,8.161573012303052,0.0,0.0,0.0
2020-05-27,0.0,0.0,0,2.821671128403456e-07,0.6071450338431532,0.0,0.0,0.0
2020-05-28,0.0,0.0,0,7.431676664260641e-07,6.75649379904462,0.0,0.0,0.0
2020-05-29,0.0,0.0,0,-6.067132883443262e-08,-1.5396969295888994,0.0,0.0,0.0
2020-06-01,0.0,0.0,0,2.9031676847622794e-08,2.748883759411001,0.0,0.0,0.0
2020-06-02,0.0,0.0,0,1.4958345238786507e-08,5.044558423289345,0.0,0.0,0.0
2020-06-03,0.0,0.0,0,-4.581043497090882e-07,-0.19783764283874916,0.0,0.0,0.0
2020-06-04,0.0,0.0,0,1.172363830801442e-08,6.423640269939824,0.0,0.0,0.0
2020-06-05,0.0,0.0,0,3.453819516349996e-08,1.641228932710419,0.0,0.0,0.0
2020-06-08,0.0,0.0,0,4.422836833228978e-09,7.61756045826769,0.0,0.0,0.0
2020-06-09,0.0,0.0,0,1.9392625871785394e-08,1.8742645586753497,0.0,0.0,0.0
2020-06-10,0.0,0.0,0,-1.0146740340339752e-08,-1.5856583097775,0.0,0.0,0.0
