,engine_per_unit,panel_per_unit,diff
2022-09-29,-663.3948911294658,-698.5039766133667,35.10908548390091
2022-09-30,-630.0663911293559,-665.9147830648699,35.84839193551397
2022-10-03,-577.2918911294631,-616.8592185488446,39.56732741938151
2022-10-04,-390.4938911293153,-431.04696048418043,40.55306935486516
2022-10-05,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-06,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-07,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-10,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-11,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-12,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-13,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-14,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-17,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-18,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-19,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-20,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-21,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-24,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-25,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-26,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-27,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-28,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-10-31,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-01,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-02,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-03,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-04,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-07,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-08,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-09,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-10,-524.08182661324,-520.2105491939119,-3.8712774193280666
2022-11-11,-524.08182661324,-520.2105491939119,-3.8712774193280666
