,engine_mtm_per_unit
2023-06-27,-958.6703266131625
2023-06-28,-927.4203266130725
2023-06-29,-896.8498266130846
2023-06-30,-916.2983266131043
2023-07-03,-920.4603266130629
2023-07-05,-834.3473266130823
2023-07-06,-839.2038266130775
2023-07-07,-794.7558266130804
2023-07-10,-826.0058266132298
2023-07-11,-857.2558266132015
2023-07-12,-907.2598266131936
2023-07-13,-865.5923266132314
2023-07-14,-849.6138266131865
2023-07-17,-867.6658266130732
2023-07-18,-854.4703266130853
2023-07-19,-854.4703266130853
2023-07-20,-896.1378266131067
2023-07-21,-864.887826613135
2023-07-24,-820.4398266131163
2023-07-25,-775.99182661306
2023-07-26,-807.2418266130315
2023-07-27,-794.0463266130434
2023-07-28,-760.0158266130745
2023-07-31,-783.628826613053
2023-08-01,-773.2113266130625
2023-08-02,-773.2113266130625
2023-08-03,-773.2113266130625
2023-08-04,-851.6898266130696
2023-08-07,-851.6898266130696
2023-08-08,-851.6898266130696
2023-08-09,-851.6898266130696
2023-08-10,-851.6898266130696
2023-08-11,-851.6898266130696
2023-08-14,-851.6898266130696
2023-08-15,-851.6898266130696
2023-08-16,-851.6898266130696
2023-08-17,-851.6898266130696
2023-08-18,-851.6898266130696
2023-08-21,-851.6898266130696
2023-08-22,-851.6898266130696
2023-08-23,-851.6898266130696
2023-08-24,-851.6898266130696
2023-08-25,-851.6898266130696
2023-08-28,-851.6898266130696
2023-08-29,-851.6898266130696
2023-08-30,-851.6898266130696
2023-08-31,-851.6898266130696
2023-09-01,-851.6898266130696
2023-09-05,-851.6898266130696
2023-09-06,-851.6898266130696
2023-09-07,-851.6898266130696
2023-09-08,-851.6898266130696
2023-09-11,-851.6898266130696
2023-09-12,-851.6898266130696
2023-09-13,-851.6898266130696
2023-09-14,-851.6898266130696
2023-09-15,-851.6898266130696
2023-09-18,-851.6898266130696
2023-09-19,-851.6898266130696
2023-09-20,-851.6898266130696
2023-09-21,-851.6898266130696
2023-09-22,-851.6898266130696
2023-09-25,-851.6898266130696
2023-09-26,-851.6898266130696
2023-09-27,-851.6898266130696
2023-09-28,-851.6898266130696
2023-09-29,-851.6898266130696
2023-10-02,-851.6898266130696
2023-10-03,-851.6898266130696
2023-10-04,-851.6898266130696
2023-10-05,-851.6898266130696
2023-10-06,-851.6898266130696
2023-10-09,-851.6898266130696
2023-10-10,-851.6898266130696
2023-10-11,-851.6898266130696
2023-10-12,-851.6898266130696
2023-10-13,-851.6898266130696
2023-10-16,-851.6898266130696
2023-10-17,-851.6898266130696
2023-10-18,-851.6898266130696
2023-10-19,-851.6898266130696
2023-10-20,-851.6898266130696
2023-10-23,-851.6898266130696
2023-10-24,-851.6898266130696
2023-10-25,-851.6898266130696
2023-10-26,-851.6898266130696
2023-10-27,-851.6898266130696
2023-10-30,-851.6898266130696
2023-10-31,-851.6898266130696
2023-11-01,-851.6898266130696
2023-11-02,-851.6898266130696
2023-11-03,-851.6898266130696
2023-11-06,-851.6898266130696
2023-11-07,-851.6898266130696
2023-11-08,-851.6898266130696
2023-11-09,-851.6898266130696
2023-11-10,-851.6898266130696
2023-11-13,-851.6898266130696
2023-11-14,-851.6898266130696
2023-11-15,-851.6898266130696
2023-11-16,-851.6898266130696
2023-11-17,-851.6898266130696
2023-11-20,-851.6898266130696
2023-11-21,-851.6898266130696
2023-11-22,-851.6898266130696
2023-11-24,-851.6898266130696
2023-11-27,-851.6898266130696
2023-11-28,-851.6898266130696
2023-11-29,-851.6898266130696
2023-11-30,-851.6898266130696
2023-12-01,-851.6898266130696
2023-12-04,-851.6898266130696
2023-12-05,-851.6898266130696
2023-12-06,-851.6898266130696
2023-12-07,-851.6898266130696
2023-12-08,-843.3358266132075
2023-12-11,-899.5878266131564
2023-12-12,-893.3348266131267
2023-12-13,-957.9358266130558
2023-12-14,-945.4448266131974
2023-12-15,-895.4358266131127
2023-12-18,-893.3498266131145
2023-12-19,-901.6838266131069
2023-12-20,-905.855826613198
2023-12-21,-924.6098266132163
2023-12-22,-995.4488266131519
2023-12-26,-949.6168266130752
2023-12-27,-932.9538266131259
2023-12-28,-962.1178266130993
2023-12-29,-889.2003266131655
2024-01-02,-816.2728266131018
2024-01-03,-843.3533266131599
2024-01-04,-824.6677862904761
2024-01-05,-824.6677862904761
2024-01-08,-824.6677862904761
2024-01-09,-824.6677862904761
2024-01-10,-824.6677862904761
2024-01-11,-824.6677862904761
2024-01-12,-824.6677862904761
2024-01-16,-824.6677862904761
2024-01-17,-824.6677862904761
2024-01-18,-824.6677862904761
2024-01-19,-824.6677862904761
2024-01-22,-824.6677862904761
2024-01-23,-824.6677862904761
2024-01-24,-824.6677862904761
2024-01-25,-824.6677862904761
2024-01-26,-824.6677862904761
2024-01-29,-824.6677862904761
2024-01-30,-824.6677862904761
2024-01-31,-824.6677862904761
2024-02-01,-824.6677862904761
2024-02-02,-824.6677862904761
2024-02-05,-824.6677862904761
2024-02-06,-824.6677862904761
2024-02-07,-824.6677862904761
2024-02-08,-824.6677862904761
2024-02-09,-824.6677862904761
2024-02-12,-824.6677862904761
2024-02-13,-824.6677862904761
2024-02-14,-824.6677862904761
2024-02-15,-824.6677862904761
2024-02-16,-824.6677862904761
2024-02-20,-824.6677862904761
2024-02-21,-824.6677862904761
2024-02-22,-824.6677862904761
2024-02-23,-824.6677862904761
2024-02-26,-824.6677862904761
2024-02-27,-824.6677862904761
2024-02-28,-824.6677862904761
2024-02-29,-824.6677862904761
2024-03-01,-824.6677862904761
2024-03-04,-824.6677862904761
2024-03-05,-824.6677862904761
2024-03-06,-824.6677862904761
2024-03-07,-824.6677862904761
2024-03-08,-824.6677862904761
2024-03-11,-824.6677862904761
2024-03-12,-824.6677862904761
2024-03-13,-824.6677862904761
2024-03-14,-824.6677862904761
2024-03-15,-824.6677862904761
2024-03-18,-824.6677862904761
2024-03-19,-824.6677862904761
2024-03-20,-824.6677862904761
2024-03-21,-824.6677862904761
2024-03-22,-824.6677862904761
2024-03-25,-824.6677862904761
2024-03-26,-824.6677862904761
2024-03-27,-824.6677862904761
2024-03-28,-824.6677862904761
2024-04-01,-824.6677862904761
2024-04-02,-824.6677862904761
2024-04-03,-824.6677862904761
2024-04-04,-824.6677862904761
2024-04-05,-824.6677862904761
2024-04-08,-824.6677862904761
2024-04-09,-824.6677862904761
2024-04-10,-824.6677862904761
2024-04-11,-824.6677862904761
2024-04-12,-824.6677862904761
2024-04-15,-824.6677862904761
2024-04-16,-824.6677862904761
2024-04-17,-824.6677862904761
2024-04-18,-824.6677862904761
2024-04-19,-824.6677862904761
2024-04-22,-824.6677862904761
2024-04-23,-824.6677862904761
2024-04-24,-824.6677862904761
2024-04-25,-824.6677862904761
2024-04-26,-824.6677862904761
2024-04-29,-824.6677862904761
2024-04-30,-824.6677862904761
2024-05-01,-824.6677862904761
2024-05-02,-824.6677862904761
2024-05-03,-824.6677862904761
2024-05-06,-824.6677862904761
2024-05-07,-824.6677862904761
2024-05-08,-824.6677862904761
2024-05-09,-824.6677862904761
2024-05-10,-824.6677862904761
2024-05-13,-824.6677862904761
2024-05-14,-824.6677862904761
2024-05-15,-824.6677862904761
2024-05-16,-824.6677862904761
2024-05-17,-824.6677862904761
2024-05-20,-824.6677862904761
2024-05-21,-824.6677862904761
2024-05-22,-824.6677862904761
2024-05-23,-824.6677862904761
2024-05-24,-824.6677862904761
2024-05-28,-824.6677862904761
2024-05-29,-824.6677862904761
2024-05-30,-824.6677862904761
2024-05-31,-824.6677862904761
2024-06-03,-824.6677862904761
2024-06-04,-824.6677862904761
2024-06-05,-824.6677862904761
2024-06-06,-824.6677862904761
2024-06-07,-824.6677862904761
2024-06-10,-824.6677862904761
2024-06-11,-824.6677862904761
2024-06-12,-824.6677862904761
2024-06-13,-824.6677862904761
2024-06-14,-824.6677862904761
2024-06-17,-845.4952862905421
2024-06-18,-830.9082862905553
2024-06-20,-884.3847862905993
2024-06-21,-828.1327862905914
2024-06-24,-864.9412862906171
2024-06-25,-821.8847862906563
2024-06-26,-816.3262862905686
2024-06-27,-765.6327862904707
2024-06-28,-722.5762862904762
2024-07-01,-764.2437862904385
2024-07-02,-732.9912862904669
2024-07-03,-725.3542862905072
2024-07-05,-837.1650362904977
2024-07-08,-837.1650362904977
2024-07-09,-837.1650362904977
2024-07-10,-837.1650362904977
2024-07-11,-837.1650362904977
2024-07-12,-837.1650362904977
2024-07-15,-837.1650362904977
2024-07-16,-837.1650362904977
2024-07-17,-834.3820362906442
2024-07-18,-834.3820362906442
2024-07-19,-865.6320362906158
2024-07-22,-842.0190362906037
2024-07-23,-853.8255362906267
2024-07-24,-910.080036290609
2024-07-25,-910.080036290609
2024-07-26,-910.080036290609
2024-07-29,-899.6625362906185
2024-07-30,-880.2190362906363
2024-07-31,-877.4360362905459
2024-08-01,-926.056036290628
2024-08-02,-1021.2150362905908
2024-08-05,-1092.0565362905936
2024-08-06,-1123.9910362904723
2024-08-07,-1123.9910362904723
2024-08-08,-1123.9910362904723
2024-08-09,-1123.9910362904723
2024-08-12,-1123.9910362904723
2024-08-13,-1123.9910362904723
2024-08-14,-1123.9910362904723
2024-08-15,-1123.9910362904723
2024-08-16,-1123.9910362904723
2024-08-19,-1123.9910362904723
2024-08-20,-1123.9910362904723
2024-08-21,-1123.9910362904723
2024-08-22,-1123.9910362904723
2024-08-23,-1123.9910362904723
2024-08-26,-1123.9910362904723
2024-08-27,-1123.9910362904723
2024-08-28,-1123.9910362904723
2024-08-29,-1123.9910362904723
2024-08-30,-1123.9910362904723
2024-09-03,-1123.9910362904723
2024-09-04,-1123.9910362904723
2024-09-05,-1123.9910362904723
2024-09-06,-1282.666786290452
2024-09-09,-1228.4957862905014
2024-09-10,-1287.8830362905383
2024-09-11,-1291.9900362905562
2024-09-12,-1247.92928629048
2024-09-13,-1251.4542862905694
2024-09-16,-1250.087786290482
2024-09-17,-1238.2837862904612
2024-09-18,-1135.925036290521
2024-09-19,-1012.3190362904872
2024-09-20,-963.7190362905038
2024-09-23,-1006.7780362904962
2024-09-24,-1056.4422862906008
2024-09-25,-915.8160362905511
2024-09-26,-859.55403629048
2024-09-27,-914.4220362904617
2024-09-30,-916.4830362906018
2024-10-01,-1011.6245362904561
2024-10-02,-1021.3450362905066
2024-10-03,-945.6445362904847
2024-10-04,-878.9375362904425
2024-10-07,-862.2520362905997
2024-10-08,-894.1990362905707
2024-10-09,-796.9665362905685
2024-10-10,-817.8015362905495
2024-10-11,-799.0575362904796
2024-10-14,-744.1870362905847
2024-10-15,-779.6190362905566
2024-10-16,-789.3370362904886
2024-10-17,-775.4420362904378
2024-10-18,-756.0010362904874
2024-10-21,-732.3830362904771
2024-10-22,-776.1390362904689
2024-10-23,-806.6920362905872
2024-10-24,-829.6155362904793
2024-10-25,-787.9480362905175
2024-10-28,-735.1685362905654
2024-10-29,-705.3100362906241
2024-10-30,-694.1980362906025
2024-10-31,-673.3630362905624
2024-11-01,-706.7015362904453
2024-11-04,-776.984806451764
2024-11-05,-776.984806451764
2024-11-06,-776.984806451764
2024-11-07,-776.984806451764
2024-11-08,-776.984806451764
2024-11-11,-776.984806451764
